年度,D,DU,D_cost,Net_Income,Equity
2015,1022951,969,9.472594483997767e-4,1662,35537
2016,95702,121,0.001264341393074335,1843,4376
2017,11300,296,0.026194690265486726,1843,37360
2018,1073091,1079,0.001005506522745974,1912,3253
2019,153631,168,0.0010935293007270667,1912,45694
2020,11300,296,0.026194690265486726,1556,3055
2021,1102524,945,8.571241986569e-4,1556,46540
2022,146120,51,3.49028196003285e-4,1753,3545
2023,4300,225,0.05232558139534884,1753,47663
2024,1123524,850,7.565481467240575e-4,1371,2750
