年度,D,DU,D_cost,N,P,NP,rE,WACC,FCF,PV_FCF
2015,434559,246,5.660911406736484e-4,8416000,1395,11740.32,0.0512,0.0015,29987,-1930.06
2016,439248,231,5.258988088733472e-4,8416000,1426,12001.22,0.0512,0.0015,-20606,-1854.34
2017,442402,160,3.6166201780281283e-4,8416000,1370,11529.92,0.0512,0.0015,-681,-1781.59
2018,448001,112,2.4999944196553133e-4,8416000,1380,11614.08,0.0512,0.0015,-32,-1711.7
2019,455071,83,1.8238912169749337e-4,8416000,658,5537.73,0.0512,8e-4,-15729,-1644.54
2020,455828,73,1.6014812604754424e-4,8416000,661,5562.98,0.0512,8e-4,-27810,-1580.03
2021,498334,59,1.1839449044215326e-4,8416000,619,5209.5,0.0512,7e-4,30901,-1518.04
2022,517432,45,8.696794941171013e-5,8416000,543,4569.89,0.0512,6e-4,24583,-1458.48
2023,501888,39,7.770657995409334e-5,8416000,460,3871.36,0.0512,6e-4,-33009,-1401.27
2024,505252,34,6.729315272378931e-5,8416000,515,4334.24,0.0512,6e-4,1669,-1346.29
