年度,D,DU,D_cost,Net_Income,Equity
2015,1282599,628,4.896308199211133e-4,1637,60224
2016,14530,81,0.005574673090158293,3004,19031
2017,3000,40,0.013333333333333334,3004,62749
2018,1260402,609,4.8317917616760365e-4,3180,18611
2019,16020,86,0.005368289637952559,3180,64321
2020,3000,40,0.013333333333333334,3579,15995
2021,1271463,548,4.3099956506795716e-4,3579,67469
2022,20100,47,0.002338308457711443,2609,14502
2023,3000,40,0.013333333333333334,2609,69680
2024,1300675,507,3.89797605089665e-4,1165,11249
