年度,D,DU,D_cost,Net_Income,Equity
2015,701776,385,5.486081028704316e-4,2272,30870
2016,195,1,0.005128205128205128,2591,6355
2017,2000,64,0.032,2591,33245
2018,705724,342,4.8460871388814893e-4,1495,6344
2019,320,2,0.00625,1495,34318
2020,692313,53,7.655496863412937e-5,1308,4079
2021,475,205,0.43157894736842106,1308,35210
2022,691834,3,4.336300326378871e-6,1267,3521
2023,385,178,0.4623376623376623,1267,36667
2024,678653,4,5.894028317859053e-6,1073,3900
