年度,D,DU,D_cost,Net_Income,Equity
2015,769246,393,5.108898843802893e-4,1347,31782
2016,19349,55,0.0028425241614553724,1960,4918
2017,770858,39,5.059297561937478e-5,1960,33202
2018,11426,383,0.033520042009452126,1795,5473
2019,787926,14,1.776816604605001e-5,1795,35309
2020,10237,255,0.024909641496532187,618,2708
2021,804992,3,3.726745110510415e-6,618,35462
2022,5218,137,0.02625527021847451,908,2775
2023,808707,0,0,908,35896
2024,5936,124,0.020889487870619946,1111,3173
