年度,D,DU,D_cost,N,P,NP,rE,WACC,FCF,PV_FCF
2015,788595,487,6.17554004273423e-4,8416000,1395,11740.32,0.0512,9e-4,37163,11184.07
2016,782284,397,5.074883290467401e-4,8416000,1426,12001.22,0.0512,9e-4,52819,10745.3
2017,798163,258,3.2324224500509293e-4,8416000,1370,11529.92,0.0512,9e-4,-16518,10323.75
2018,810210,137,1.6909196381185125e-4,8416000,1380,11614.08,0.0512,9e-4,-99039,9918.73
2019,814643,124,1.5221391456134774e-4,8416000,658,5537.73,0.0512,5e-4,-36353,9529.6
2020,815303,110,1.349191650220838e-4,8416000,661,5562.98,0.0512,5e-4,19119,9155.74
2021,966892,89,9.204750892550564e-5,8416000,619,5209.5,0.0512,4e-4,130764,8796.55
2022,974632,36,3.693701827971994e-5,8416000,543,4569.89,0.0512,4e-4,11979,8451.44
2023,911550,28,3.071691075640393e-5,8416000,460,3871.36,0.0512,4e-4,-99623,8119.88
2024,930677,27,2.9011139202967303e-5,8416000,515,4334.24,0.0512,4e-4,79176,7801.32
