年度,D,DU,D_cost,Net_Income,Equity
2015,353822,517,0.001461186698396369,648,14051
2016,17451,57,0.0032662884648444216,694,6741
2017,1600,48,0.03,694,14440
2018,368089,564,0.001532238127192065,1031,5918
2019,23583,58,0.0024593987194165287,1031,15289
2020,1540,48,0.03116883116883117,633,4821
2021,368751,532,0.0014427079519784352,633,16195
2022,21806,45,0.0020636522058149133,365,2383
2023,1520,47,0.030921052631578946,365,16333
2024,364389,448,0.0012294553348207548,-2279,1283
