年度,D,DU,D_cost,Net_Income,Equity
2015,905588,1257,0.001388048428203554,3922,55027
2016,59450,86,0.0014465937762825904,3105,10931
2017,900884,1148,0.0012743039059412754,3105,57622
2018,61711,108,0.0017500931762570691,2307,10571
2019,899326,966,0.0010741377431543178,2307,59324
2020,88704,55,6.200396825396825e-4,1828,9851
2021,919629,754,8.198958493044478e-4,1828,60576
2022,77982,36,4.616449949988459e-4,996,10396
2023,900902,460,5.105993770687599e-4,996,61209
2024,60117,32,5.322953573864298e-4,1468,9466
