年度,D,DU,D_cost,Net_Income,Equity
2015,431361,219,5.07695410572583e-4,1261,20475
2016,3198,27,0.008442776735459663,1070,12946
2017,436714,208,4.762842501041872e-4,1070,21758
2018,2534,23,0.009076558800315706,1242,10387
2019,440843,144,3.266469015046173e-4,1242,22719
2020,1559,16,0.010262989095574085,1370,10287
2021,446352,101,2.2627881134172132e-4,1370,23768
2022,1649,11,0.0066707095209217705,1441,12101
2023,453172,71,1.5667340435860999e-4,1441,24923
2024,1899,12,0.00631911532385466,738,10183
