年度,D,DU,D_cost,Net_Income,Equity
2015,661375,390,5.896805896805897e-4,3453,28882
2016,22320,20,8.960573476702509e-4,2681,4169
2017,3000,174,0.058,2681,31240
2018,671922,379,5.640535657412617e-4,1254,1626
2019,23325,28,0.00120042872454448,1254,32066
2020,3000,52,0.017333333333333333,-3120,-440
2021,669063,276,4.1251720689979867e-4,-3120,28449
2022,11045,16,0.0014486192847442281,532,994
2023,3000,52,0.017333333333333333,532,28975
2024,701089,259,3.694252798146883e-4,413,-918
