年度,D,DU,D_cost,Net_Income,Equity
2015,886235,750,8.462766647672457e-4,2137,41895
2016,15528,101,0.006504379185986605,1992,8707
2017,5000,153,0.0306,1992,43329
2018,908441,745,8.200862796813442e-4,1311,7871
2019,14928,66,0.0044212218649517685,1311,44073
2020,5000,153,0.0306,1108,5724
2021,926883,647,6.980384795060434e-4,1108,44611
2022,14000,52,0.0037142857142857142,957,5262
2023,936767,143,1.5265268738117376e-4,957,45055
2024,8700,535,0.06149425287356322,898,4042
