項目,金額,年度
企業名,The Gunma Bank,2025
現金預け金,1844728,2024
商品有価証券,268,2024
金銭の信託,12251,2024
有価証券,2290971,2024
貸出金,6406055,2024
外国為替,8445,2024
リース債権及びリース投資資産,63506,2024
その他資産,109746,2024
有形固定資産,64772,2024
建物,19025,2024
土地,37584,2024
リース資産,463,2024
建設仮勘定,450,2024
その他の有形固定資産,7250,2024
無形固定資産,8162,2024
ソフトウエア,7672,2024
その他の無形固定資産,490,2024
退職給付に係る資産,40728,2024
繰延税金資産,1335,2024
支払承諾見返,8609,2024
貸倒引当金,-41366,2024
資産の部合計,10818218,2024
預金,8303258,2024
譲渡性預金,174403,2024
コールマネー及び売渡手形,40880,2024
売現先勘定,136841,2024
債券貸借取引受入担保金,283947,2024
借用金,1122729,2024
外国為替,341,2024
社債,50000,2024
信託勘定借,13575,2024
その他負債,95309,2024
役員賞与引当金,61,2024
退職給付に係る負債,342,2024
役員退職慰労引当金,140,2024
睡眠預金払戻損失引当金,154,2024
偶発損失引当金,915,2024
特別法上の引当金,0,2024
繰延税金負債,6708,2024
再評価に係る繰延税金負債,6902,2024
支払承諾,8609,2024
負債の部合計,10245122,2024
資本金,48652,2024
資本剰余金,29587,2024
利益剰余金,452960,2024
自己株式,-17146,2024
株主資本合計,514053,2024
その他有価証券評価差額金,23617,2024
繰延ヘッジ損益,942,2024
土地再評価差額金,12593,2024
退職給付に係る調整累計額,21889,2024
その他の包括利益累計額合計,59041,2024
純資産の部合計,573095,2024
負債及び純資産の部合計,10818218,2024
企業名,The Gunma Bank,2024
経常収益,200356,2024
資金運用収益,105807,2024
貸出金利息,68882,2024
有価証券利息配当金,35820,2024
コールローン利息及び買入手形利息,12,2024
預け金利息,1002,2024
その他の受入利息,89,2024
信託報酬,37,2024
役務取引等収益,28239,2024
その他業務収益,33504,2024
その他経常収益,32767,2024
償却債権取立益,9,2024
その他の経常収益,32757,2024
経常費用,156567,2024
資金調達費用,39779,2024
預金利息,4672,2024
譲渡性預金利息,637,2024
コールマネー利息及び売渡手形利息,3390,2024
売現先利息,6501,2024
債券貸借取引支払利息,3291,2024
借用金利息,1159,2024
社債利息,272,2024
その他の支払利息,19853,2024
役務取引等費用,9129,2024
その他業務費用,53003,2024
営業経費,51547,2024
その他経常費用,3107,2024
貸倒引当金繰入額,770,2024
その他の経常費用,2337,2024
経常利益,43788,2024
特別利益,210,2024
固定資産処分益,210,2024
特別損失,1016,2024
固定資産処分損,228,2024
減損損失,787,2024
金融商品取引責任準備金繰入額,0,2024
税金等調整前当期純利益,42982,2024
法人税、住民税及び事業税,11850,2024
法人税等調整額,6,2024
法人税等合計,11856,2024
当期純利益,31125,2024
親会社株主に帰属する当期純利益,31125,2024
当期純利益,31125,2024
その他の包括利益,42099,2024
その他有価証券評価差額金,25818,2024
繰延ヘッジ損益,691,2024
退職給付に係る調整額,14870,2024
持分法適用会社に対する持分相当額,719,2024
包括利益,73225,2024
親会社株主に係る包括利益,73225,2024
企業名,The Gunma Bank,2024
税金等調整前当期純利益,42982,2024
減価償却費,6193,2024
減損損失,787,2024
持分法による投資損益（△は益）,-141,2024
貸倒引当金の増減（△）,-4601,2024
役員賞与引当金の増減額（△は減少）,4,2024
退職給付に係る資産の増減額（△は増加）,-23764,2024
退職給付に係る負債の増減額（△は減少）,-16,2024
役員退職慰労引当金の増減額（△は減少）,-26,2024
睡眠預金払戻損失引当金の増減（△）,-110,2024
偶発損失引当金の増減（△）,-10,2024
資金運用収益,-105807,2024
資金調達費用,39779,2024
有価証券関係損益（△）,-5719,2024
金銭の信託の運用損益（△は運用益）,-0,2024
為替差損益（△は益）,-1505,2024
固定資産処分損益（△は益）,18,2024
商品有価証券の純増（△）減,272,2024
貸出金の純増（△）減,-414758,2024
預金の純増減（△）,258420,2024
譲渡性預金の純増減（△）,-25016,2024
借用金（劣後特約付借入金を除く）の純増減（△）,195736,2024
預け金（日銀預け金を除く）の純増（△）減,-11136,2024
コールマネー等の純増減（△）,12171,2024
売現先勘定の純増減（△）,50275,2024
債券貸借取引受入担保金の純増減（△）,-439502,2024
外国為替（資産）の純増（△）減,1599,2024
外国為替（負債）の純増減（△）,3,2024
リース債権及びリース投資資産の純増（△）減,-2952,2024
信託勘定借の純増減（△）,587,2024
資金運用による収入,108367,2024
資金調達による支出,-38513,2024
その他,-28661,2024
小計,-385043,2024
法人税等の支払額,-9480,2024
営業活動によるキャッシュ・フロー,-394524,2024
有価証券の取得による支出,-830733,2024
有価証券の売却による収入,1065544,2024
有価証券の償還による収入,185624,2024
金銭の信託の増加による支出,-2400,2024
金銭の信託の減少による収入,2,2024
有形固定資産の取得による支出,-4347,2024
無形固定資産の取得による支出,-2941,2024
有形固定資産の売却による収入,252,2024
投資活動によるキャッシュ・フロー,411002,2024
劣後特約付社債の発行による収入,10000,2024
劣後特約付社債の償還による支出,-10000,2024
自己株式の取得による支出,-8001,2024
自己株式の売却による収入,94,2024
配当金の支払額,-8021,2024
財務活動によるキャッシュ・フロー,-15929,2024
現金及び現金同等物の増減額（△は減少）,548,2024
現金及び現金同等物の期首残高,1829954,2024
現金及び現金同等物の期末残高,1830503,2024
企業名,The Gunma Bank,2024
現金預け金,1833043,2023
商品有価証券,541,2023
金銭の信託,9854,2023
有価証券,2617250,2023
貸出金,5991297,2023
外国為替,10045,2023
リース債権及びリース投資資産,60554,2023
その他資産,74120,2023
有形固定資産,65013,2023
建物,18539,2023
土地,38233,2023
リース資産,530,2023
建設仮勘定,960,2023
その他の有形固定資産,6748,2023
無形固定資産,8053,2023
ソフトウエア,7559,2023
その他の無形固定資産,494,2023
退職給付に係る資産,16963,2023
繰延税金資産,13003,2023
支払承諾見返,8527,2023
貸倒引当金,-45967,2023
資産の部合計,10662300,2023
預金,8044837,2023
譲渡性預金,199419,2023
コールマネー及び売渡手形,28708,2023
売現先勘定,86565,2023
債券貸借取引受入担保金,723449,2023
借用金,926993,2023
外国為替,338,2023
社債,50000,2023
信託勘定借,12988,2023
その他負債,55774,2023
役員賞与引当金,56,2023
退職給付に係る負債,358,2023
役員退職慰労引当金,167,2023
睡眠預金払戻損失引当金,264,2023
偶発損失引当金,926,2023
特別法上の引当金,0,2023
再評価に係る繰延税金負債,7112,2023
支払承諾,8527,2023
負債の部合計,10146489,2023
資本金,48652,2023
資本剰余金,29581,2023
利益剰余金,429438,2023
自己株式,-9233,2023
株主資本合計,498439,2023
その他有価証券評価差額金,-2920,2023
繰延ヘッジ損益,250,2023
土地再評価差額金,13022,2023
退職給付に係る調整累計額,7018,2023
その他の包括利益累計額合計,17370,2023
純資産の部合計,515810,2023
負債及び純資産の部合計,10662300,2023
企業名,The Gunma Bank,2023
経常収益,176589,2023
資金運用収益,87076,2023
貸出金利息,58544,2023
有価証券利息配当金,26381,2023
コールローン利息及び買入手形利息,55,2023
預け金利息,2024,2023
その他の受入利息,69,2023
信託報酬,36,2023
役務取引等収益,22763,2023
その他業務収益,37385,2023
その他経常収益,29328,2023
償却債権取立益,4,2023
その他の経常収益,29323,2023
経常費用,138273,2023
資金調達費用,15620,2023
預金利息,1512,2023
譲渡性預金利息,1257,2023
コールマネー利息及び売渡手形利息,1699,2023
売現先利息,1023,2023
