項目,金額,年度
債券貸借取引支払利息,2790,2023
借用金利息,559,2023
社債利息,226,2023
その他の支払利息,6552,2023
役務取引等費用,8357,2023
その他業務費用,59603,2023
営業経費,51549,2023
その他経常費用,3141,2023
貸倒引当金繰入額,909,2023
その他の経常費用,2232,2023
経常利益,38316,2023
特別利益,1597,2023
固定資産処分益,1597,2023
特別損失,1013,2023
固定資産処分損,603,2023
減損損失,409,2023
金融商品取引責任準備金繰入額,0,2023
税金等調整前当期純利益,38901,2023
法人税、住民税及び事業税,8426,2023
法人税等調整額,2542,2023
法人税等合計,10968,2023
当期純利益,27933,2023
親会社株主に帰属する当期純利益,27933,2023
当期純利益,27933,2023
その他の包括利益,-33310,2023
その他有価証券評価差額金,-36479,2023
繰延ヘッジ損益,388,2023
退職給付に係る調整額,2601,2023
持分法適用会社に対する持分相当額,179,2023
包括利益,-5377,2023
親会社株主に係る包括利益,-5377,2023
企業名,The Gunma Bank,2023
税金等調整前当期純利益,38901,2023
減価償却費,6572,2023
減損損失,409,2023
持分法による投資損益（△は益）,-221,2023
貸倒引当金の増減（△）,-6517,2023
役員賞与引当金の増減額（△は減少）,-2,2023
退職給付に係る資産の増減額（△は増加）,-6150,2023
退職給付に係る負債の増減額（△は減少）,-4,2023
役員退職慰労引当金の増減額（△は減少）,-36,2023
睡眠預金払戻損失引当金の増減（△）,-103,2023
偶発損失引当金の増減（△）,25,2023
資金運用収益,-87076,2023
資金調達費用,15620,2023
有価証券関係損益（△）,1772,2023
金銭の信託の運用損益（△は運用益）,11,2023
為替差損益（△は益）,-2554,2023
固定資産処分損益（△は益）,-994,2023
商品有価証券の純増（△）減,400,2023
貸出金の純増（△）減,-233200,2023
預金の純増減（△）,85504,2023
譲渡性預金の純増減（△）,-9838,2023
借用金（劣後特約付借入金を除く）の純増減（△）,-573802,2023
預け金（日銀預け金を除く）の純増（△）減,523,2023
コールローン等の純増（△）減,6119,2023
コールマネー等の純増減（△）,36623,2023
債券貸借取引受入担保金の純増減（△）,-9545,2023
外国為替（資産）の純増（△）減,24199,2023
外国為替（負債）の純増減（△）,-196,2023
リース債権及びリース投資資産の純増（△）減,-363,2023
信託勘定借の純増減（△）,931,2023
資金運用による収入,90335,2023
資金調達による支出,-14451,2023
その他,-13296,2023
小計,-650404,2023
法人税等の支払額,-5761,2023
営業活動によるキャッシュ・フロー,-656166,2023
有価証券の取得による支出,-823174,2023
有価証券の売却による収入,519392,2023
有価証券の償還による収入,151062,2023
金銭の信託の増加による支出,-1600,2023
金銭の信託の減少による収入,14,2023
有形固定資産の取得による支出,-3775,2023
無形固定資産の取得による支出,-2031,2023
有形固定資産の売却による収入,2356,2023
事業譲渡による収入,4437,2023
投資活動によるキャッシュ・フロー,-153319,2023
劣後特約付社債の発行による収入,10000,2023
劣後特約付社債の償還による支出,-10000,2023
自己株式の取得による支出,-2000,2023
自己株式の売却による収入,94,2023
配当金の支払額,-6159,2023
財務活動によるキャッシュ・フロー,-8066,2023
現金及び現金同等物の増減額（△は減少）,-817552,2023
現金及び現金同等物の期首残高,2647506,2023
現金及び現金同等物の期末残高,1829954,2023
企業名,The Gunma Bank,2023
現金預け金,2651118,2022
コールローン及び買入手形,6119,2022
買入金銭債権,5706,2022
商品有価証券,942,2022
金銭の信託,8268,2022
有価証券,2501019,2022
貸出金,5758096,2022
外国為替,34244,2022
リース債権及びリース投資資産,60191,2022
その他資産,78824,2022
有形固定資産,66191,2022
建物,18818,2022
土地,39550,2022
リース資産,597,2022
建設仮勘定,361,2022
その他の有形固定資産,6863,2022
無形固定資産,9236,2022
ソフトウエア,8735,2022
その他の無形固定資産,500,2022
退職給付に係る資産,10813,2022
繰延税金資産,1488,2022
支払承諾見返,8764,2022
貸倒引当金,-52485,2022
資産の部合計,11148539,2022
預金,7959333,2022
譲渡性預金,209258,2022
コールマネー及び売渡手形,70496,2022
売現先勘定,8153,2022
債券貸借取引受入担保金,732995,2022
借用金,1500795,2022
外国為替,534,2022
社債,50000,2022
信託勘定借,12056,2022
その他負債,57106,2022
役員賞与引当金,59,2022
退職給付に係る負債,362,2022
役員退職慰労引当金,204,2022
睡眠預金払戻損失引当金,367,2022
ポイント引当金,155,2022
偶発損失引当金,900,2022
特別法上の引当金,0,2022
繰延税金負債,359,2022
再評価に係る繰延税金負債,7377,2022
支払承諾,8764,2022
負債の部合計,10619283,2022
資本金,48652,2022
資本剰余金,29581,2022
利益剰余金,407300,2022
自己株式,-7352,2022
株主資本合計,478181,2022
その他有価証券評価差額金,33379,2022
繰延ヘッジ損益,-137,2022
土地再評価差額金,13415,2022
退職給付に係る調整累計額,4417,2022
その他の包括利益累計額合計,51074,2022
純資産の部合計,529256,2022
負債及び純資産の部合計,11148539,2022
企業名,The Gunma Bank,2022
経常収益,150197,2022
資金運用収益,73869,2022
貸出金利息,53281,2022
有価証券利息配当金,18765,2022
コールローン利息及び買入手形利息,0,2022
預け金利息,980,2022
その他の受入利息,841,2022
信託報酬,52,2022
役務取引等収益,21544,2022
その他業務収益,38399,2022
その他経常収益,16331,2022
償却債権取立益,2,2022
その他の経常収益,16328,2022
経常費用,111086,2022
資金調達費用,1868,2022
預金利息,353,2022
譲渡性預金利息,112,2022
コールマネー利息及び売渡手形利息,48,2022
売現先利息,9,2022
債券貸借取引支払利息,239,2022
借用金利息,59,2022
社債利息,218,2022
その他の支払利息,826,2022
役務取引等費用,8222,2022
その他業務費用,32459,2022
営業経費,55503,2022
その他経常費用,13031,2022
貸倒引当金繰入額,7505,2022
その他の経常費用,5526,2022
経常利益,39111,2022
特別利益,2493,2022
固定資産処分益,2493,2022
特別損失,1821,2022
固定資産処分損,438,2022
減損損失,1382,2022
金融商品取引責任準備金繰入額,0,2022
税金等調整前当期純利益,39783,2022
法人税、住民税及び事業税,8062,2022
法人税等調整額,5284,2022
法人税等合計,13347,2022
当期純利益,26436,2022
親会社株主に帰属する当期純利益,26436,2022
当期純利益,26436,2022
その他の包括利益,-35940,2022
その他有価証券評価差額金,-38371,2022
繰延ヘッジ損益,93,2022
為替換算調整勘定,98,2022
退職給付に係る調整額,2029,2022
持分法適用会社に対する持分相当額,209,2022
包括利益,-9504,2022
親会社株主に係る包括利益,-9504,2022
企業名,The Gunma Bank,2022
税金等調整前当期純利益,39783,2022
減価償却費,6863,2022
減損損失,1382,2022
持分法による投資損益（△は益）,-146,2022
貸倒引当金の増減（△）,-10543,2022
役員賞与引当金の増減額（△は減少）,2,2022
退職給付に係る資産の増減額（△は増加）,-4181,2022
退職給付に係る負債の増減額（△は減少）,-5,2022
役員退職慰労引当金の増減額（△は減少）,-40,2022
睡眠預金払戻損失引当金の増減（△）,-165,2022
ポイント引当金の増減額（△は減少）,11,2022
偶発損失引当金の増減（△）,0,2022
資金運用収益,-73869,2022
資金調達費用,1868,2022
有価証券関係損益（△）,-9616,2022
金銭の信託の運用損益（△は運用益）,-6,2022
為替差損益（△は益）,-1510,2022
固定資産処分損益（△は益）,-2055,2022
商品有価証券の純増（△）減,-118,2022
貸出金の純増（△）減,-69248,2022
預金の純増減（△）,217672,2022
譲渡性預金の純増減（△）,41583,2022
借用金（劣後特約付借入金を除く）の純増減（△）,209714,2022
預け金（日銀預け金を除く）の純増（△）減,-1834,2022
コールローン等の純増（△）減,-6203,2022
コールマネー等の純増減（△）,36570,2022
債券貸借取引受入担保金の純増減（△）,63970,2022
外国為替（資産）の純増（△）減,-19296,2022
外国為替（負債）の純増減（△）,372,2022
リース債権及びリース投資資産の純増（△）減,-662,2022
信託勘定借の純増減（△）,3102,2022
資金運用による収入,79092,2022
資金調達による支出,-1897,2022
その他,-26764,2022
小計,473822,2022
法人税等の支払額,-14233,2022
営業活動によるキャッシュ・フロー,459588,2022
有価証券の取得による支出,-909311,2022
有価証券の売却による収入,570154,2022
有価証券の償還による収入,210372,2022
金銭の信託の減少による収入,2999,2022
有形固定資産の取得による支出,-3157,2022
無形固定資産の取得による支出,-2820,2022
有形固定資産の売却による収入,3954,2022
投資活動によるキャッシュ・フロー,-127807,2022
劣後特約付社債の発行による収入,10000,2022
劣後特約付社債の償還による支出,-10000,2022
自己株式の取得による支出,-3500,2022
自己株式の売却による収入,92,2022
配当金の支払額,-5872,2022
財務活動によるキャッシュ・フロー,-9281,2022
現金及び現金同等物に係る換算差額,103,2022
現金及び現金同等物の増減額（△は減少）,322602,2022
現金及び現金同等物の期首残高,2324903,2022
現金及び現金同等物の期末残高,2647506,2022
企業名,The Gunma Bank,2022
現金預け金,2326681,2021
買入金銭債権,5621,2021
商品有価証券,823,2021
金銭の信託,11268,2021
有価証券,2402460,2021
貸出金,5688847,2021
外国為替,14947,2021
リース債権及びリース投資資産,59528,2021
その他資産,71348,2021
有形固定資産,69463,2021
建物,18812,2021
土地,41600,2021
リース資産,664,2021
建設仮勘定,2786,2021
その他の有形固定資産,5600,2021
無形固定資産,9956,2021
ソフトウエア,9444,2021
その他の無形固定資産,512,2021
退職給付に係る資産,6631,2021
繰延税金資産,1571,2021
支払承諾見返,9632,2021
貸倒引当金,-63028,2021
資産の部合計,10615756,2021
預金,7741661,2021
譲渡性預金,167674,2021
コールマネー及び売渡手形,37087,2021
売現先勘定,4992,2021
債券貸借取引受入担保金,669024,2021
借用金,1291081,2021
外国為替,162,2021
社債,50000,2021
信託勘定借,8953,2021
その他負債,66683,2021
役員賞与引当金,56,2021
退職給付に係る負債,368,2021
役員退職慰労引当金,244,2021
睡眠預金払戻損失引当金,533,2021
ポイント引当金,144,2021
偶発損失引当金,900,2021
特別法上の引当金,0,2021
繰延税金負債,10636,2021
再評価に係る繰延税金負債,7823,2021
支払承諾,9632,2021
負債の部合計,10067663,2021
資本金,48652,2021
資本剰余金,29581,2021
利益剰余金,391382,2021
自己株式,-8838,2021
株主資本合計,460778,2021
その他有価証券評価差額金,71541,2021
繰延ヘッジ損益,-231,2021
土地再評価差額金,13715,2021
為替換算調整勘定,-98,2021
退職給付に係る調整累計額,2387,2021
その他の包括利益累計額合計,87314,2021
純資産の部合計,548093,2021
負債及び純資産の部合計,10615756,2021
企業名,The Gunma Bank,2021
経常収益,143316,2021
資金運用収益,69790,2021
貸出金利息,54034,2021
有価証券利息配当金,14596,2021
コールローン利息及び買入手形利息,-12,2021
預け金利息,368,2021
その他の受入利息,802,2021
信託報酬,53,2021
役務取引等収益,21379,2021
その他業務収益,38152,2021
その他経常収益,13941,2021
償却債権取立益,2,2021
その他の経常収益,13938,2021
経常費用,123233,2021
資金調達費用,2530,2021
預金利息,451,2021
譲渡性預金利息,224,2021
コールマネー利息及び売渡手形利息,-8,2021
売現先利息,64,2021
債券貸借取引支払利息,242,2021
借用金利息,248,2021
社債利息,214,2021
その他の支払利息,1094,2021
役務取引等費用,8208,2021
その他業務費用,29020,2021
営業経費,57461,2021
その他経常費用,26011,2021
貸倒引当金繰入額,21888,2021
その他の経常費用,4123,2021
経常利益,20082,2021
特別利益,278,2021
固定資産処分益,4,2021
新株予約権戻入益,274,2021
特別損失,552,2021
固定資産処分損,270,2021
減損損失,282,2021
金融商品取引責任準備金繰入額,0,2021
税金等調整前当期純利益,19808,2021
法人税、住民税及び事業税,11436,2021
法人税等調整額,-5128,2021
法人税等合計,6307,2021
当期純利益,13501,2021
親会社株主に帰属する当期純利益,13501,2021
当期純利益,13501,2021
その他の包括利益,52014,2021
その他有価証券評価差額金,39755,2021
繰延ヘッジ損益,98,2021
為替換算調整勘定,-127,2021
退職給付に係る調整額,11929,2021
持分法適用会社に対する持分相当額,358,2021
包括利益,65515,2021
親会社株主に係る包括利益,65515,2021
企業名,The Gunma Bank,2021
税金等調整前当期純利益,19808,2021
減価償却費,6497,2021
減損損失,282,2021
新株予約権戻入益,-274,2021
持分法による投資損益（△は益）,-131,2021
貸倒引当金の増減（△）,17609,2021
役員賞与引当金の増減額（△は減少）,-4,2021
退職給付に係る資産の増減額（△は増加）,-6380,2021
退職給付に係る負債の増減額（△は減少）,-10153,2021
役員退職慰労引当金の増減額（△は減少）,-43,2021
睡眠預金払戻損失引当金の増減（△）,-148,2021
ポイント引当金の増減額（△は減少）,4,2021
偶発損失引当金の増減（△）,-47,2021
資金運用収益,-69790,2021
資金調達費用,2530,2021
有価証券関係損益（△）,-12638,2021
金銭の信託の運用損益（△は運用益）,-7,2021
為替差損益（△は益）,-302,2021
固定資産処分損益（△は益）,266,2021
商品有価証券の純増（△）減,899,2021
貸出金の純増（△）減,-145670,2021
預金の純増減（△）,701552,2021
譲渡性預金の純増減（△）,3459,2021
借用金（劣後特約付借入金を除く）の純増減（△）,809336,2021
預け金（日銀預け金を除く）の純増（△）減,2146,2021
コールローン等の純増（△）減,3492,2021
コールマネー等の純増減（△）,23677,2021
債券貸借取引受入担保金の純増減（△）,577893,2021
外国為替（資産）の純増（△）減,2925,2021
外国為替（負債）の純増減（△）,-218,2021
リース債権及びリース投資資産の純増（△）減,-603,2021
信託勘定借の純増減（△）,4054,2021
資金運用による収入,73013,2021
資金調達による支出,-2884,2021
その他,-7767,2021
小計,1992383,2021
法人税等の支払額,-5208,2021
営業活動によるキャッシュ・フロー,1987175,2021
有価証券の取得による支出,-1010823,2021
有価証券の売却による収入,314580,2021
有価証券の償還による収入,210694,2021
金銭の信託の増加による支出,-4490,2021
有形固定資産の取得による支出,-5022,2021
無形固定資産の取得による支出,-3431,2021
有形固定資産の売却による収入,123,2021
投資活動によるキャッシュ・フロー,-498369,2021
自己株式の取得による支出,-0,2021
自己株式の売却による収入,295,2021
配当金の支払額,-5456,2021
財務活動によるキャッシュ・フロー,-5161,2021
現金及び現金同等物に係る換算差額,-126,2021
現金及び現金同等物の増減額（△は減少）,1483517,2021
現金及び現金同等物の期首残高,841386,2021
現金及び現金同等物の期末残高,2324903,2021
企業名,The Gunma Bank,2021
現金預け金,845309,2020
買入金銭債権,9113,2020
商品有価証券,1722,2020
金銭の信託,6778,2020
有価証券,1789364,2020
貸出金,5543176,2020
外国為替,17872,2020
リース債権及びリース投資資産,58925,2020
その他資産,93309,2020
有形固定資産,68354,2020
建物,18095,2020
土地,41834,2020
リース資産,749,2020
建設仮勘定,1312,2020
その他の有形固定資産,6363,2020
無形固定資産,9760,2020
ソフトウエア,9249,2020
その他の無形固定資産,511,2020
退職給付に係る資産,251,2020
繰延税金資産,8552,2020
支払承諾見返,9790,2020
貸倒引当金,-45418,2020
資産の部合計,8416864,2020
預金,7040108,2020
譲渡性預金,164214,2020
売現先勘定,18402,2020
債券貸借取引受入担保金,91131,2020
借用金,481744,2020
外国為替,381,2020
社債,50000,2020
信託勘定借,4899,2020
その他負債,47657,2020
役員賞与引当金,61,2020
退職給付に係る負債,10521,2020
役員退職慰労引当金,288,2020
睡眠預金払戻損失引当金,682,2020
ポイント引当金,140,2020
偶発損失引当金,947,2020
特別法上の引当金,0,2020
繰延税金負債,14,2020
再評価に係る繰延税金負債,7851,2020
支払承諾,9790,2020
負債の部合計,7928835,2020
資本金,48652,2020
資本剰余金,29581,2020
利益剰余金,383452,2020
自己株式,-9309,2020
株主資本合計,452377,2020
その他有価証券評価差額金,31427,2020
繰延ヘッジ損益,-330,2020
土地再評価差額金,13778,2020
為替換算調整勘定,29,2020
退職給付に係る調整累計額,-9541,2020
その他の包括利益累計額合計,35363,2020
新株予約権,287,2020
純資産の部合計,488028,2020
負債及び純資産の部合計,8416864,2020
企業名,The Gunma Bank,2020
経常収益,143069,2020
資金運用収益,74017,2020
貸出金利息,56904,2020
有価証券利息配当金,16094,2020
コールローン利息及び買入手形利息,15,2020
預け金利息,99,2020
その他の受入利息,902,2020
信託報酬,36,2020
役務取引等収益,20554,2020
その他業務収益,37024,2020
その他経常収益,11437,2020
償却債権取立益,4,2020
その他の経常収益,11433,2020
経常費用,111545,2020
資金調達費用,6437,2020
預金利息,1348,2020
譲渡性預金利息,952,2020
コールマネー利息及び売渡手形利息,0,2020
売現先利息,317,2020
債券貸借取引支払利息,351,2020
借用金利息,545,2020
社債利息,187,2020
その他の支払利息,2734,2020
役務取引等費用,8131,2020
その他業務費用,31821,2020
営業経費,56438,2020
その他経常費用,8716,2020
貸倒引当金繰入額,3679,2020
その他の経常費用,5036,2020
経常利益,31523,2020
特別利益,0,2020
固定資産処分益,0,2020
特別損失,694,2020
固定資産処分損,212,2020
減損損失,482,2020
金融商品取引責任準備金繰入額,0,2020
税金等調整前当期純利益,30829,2020
法人税、住民税及び事業税,8392,2020
法人税等調整額,76,2020
法人税等合計,8469,2020
当期純利益,22360,2020
非支配株主に帰属する当期純利益,79,2020
親会社株主に帰属する当期純利益,22280,2020
当期純利益,22360,2020
その他の包括利益,-52506,2020
その他有価証券評価差額金,-46608,2020
繰延ヘッジ損益,-151,2020
為替換算調整勘定,-57,2020
退職給付に係る調整額,-5695,2020
持分法適用会社に対する持分相当額,6,2020
包括利益,-30146,2020
親会社株主に係る包括利益,-30323,2020
非支配株主に係る包括利益,176,2020
企業名,The Gunma Bank,2020
税金等調整前当期純利益,30829,2020
減価償却費,6899,2020
減損損失,482,2020
持分法による投資損益（△は益）,-160,2020
貸倒引当金の増減（△）,702,2020
役員賞与引当金の増減額（△は減少）,13,2020
退職給付に係る資産の増減額（△は増加）,1220,2020
退職給付に係る負債の増減額（△は減少）,5673,2020
役員退職慰労引当金の増減額（△は減少）,-102,2020
睡眠預金払戻損失引当金の増減（△）,-223,2020
ポイント引当金の増減額（△は減少）,5,2020
偶発損失引当金の増減（△）,8,2020
資金運用収益,-74017,2020
資金調達費用,6437,2020
有価証券関係損益（△）,-7419,2020
金銭の信託の運用損益（△は運用益）,-14,2020
為替差損益（△は益）,-401,2020
固定資産処分損益（△は益）,212,2020
商品有価証券の純増（△）減,-367,2020
貸出金の純増（△）減,-30993,2020
預金の純増減（△）,241234,2020
譲渡性預金の純増減（△）,-18966,2020
借用金（劣後特約付借入金を除く）の純増減（△）,64401,2020
預け金（日銀預け金を除く）の純増（△）減,829,2020
コールローン等の純増（△）減,851,2020
コールマネー等の純増減（△）,220,2020
債券貸借取引受入担保金の純増減（△）,46627,2020
外国為替（資産）の純増（△）減,-11086,2020
外国為替（負債）の純増減（△）,13,2020
リース債権及びリース投資資産の純増（△）減,-3622,2020
信託勘定借の純増減（△）,2914,2020
資金運用による収入,75979,2020
資金調達による支出,-6709,2020
その他,-2729,2020
小計,328741,2020
法人税等の支払額,-11767,2020
営業活動によるキャッシュ・フロー,316974,2020
有価証券の取得による支出,-593426,2020
有価証券の売却による収入,189844,2020
有価証券の償還による収入,202792,2020
金銭の信託の増加による支出,-840,2020
有形固定資産の取得による支出,-3798,2020
無形固定資産の取得による支出,-2505,2020
有形固定資産の売却による収入,16,2020
投資活動によるキャッシュ・フロー,-207917,2020
劣後特約付社債の発行による収入,20000,2020
新株予約権付社債の償還による支出,-22198,2020
自己株式の取得による支出,-3000,2020
自己株式の売却による収入,328,2020
配当金の支払額,-5504,2020
非支配株主への配当金の支払額,-9,2020
連結範囲の変更を伴わない子会社株式の取得による支出,-5293,2020
財務活動によるキャッシュ・フロー,-15676,2020
現金及び現金同等物に係る換算差額,-58,2020
現金及び現金同等物の増減額（△は減少）,93321,2020
現金及び現金同等物の期首残高,748064,2020
現金及び現金同等物の期末残高,841386,2020
企業名,The Gunma Bank,2020
現金預け金,752818,2019
買入金銭債権,9965,2019
商品有価証券,1355,2019
金銭の信託,5938,2019
有価証券,1701356,2019
貸出金,5512182,2019
外国為替,6786,2019
リース債権及びリース投資資産,55302,2019
その他資産,46053,2019
有形固定資産,68806,2019
建物,18444,2019
土地,42136,2019
リース資産,797,2019
建設仮勘定,248,2019
その他の有形固定資産,7178,2019
無形固定資産,10678,2019
ソフトウエア,10135,2019
その他の無形固定資産,543,2019
退職給付に係る資産,1471,2019
繰延税金資産,1498,2019
支払承諾見返,10638,2019
貸倒引当金,-44716,2019
資産の部合計,8140134,2019
預金,6798874,2019
譲渡性預金,183181,2019
売現先勘定,18181,2019
債券貸借取引受入担保金,44503,2019
借用金,417342,2019
外国為替,367,2019
社債,30000,2019
新株予約権付社債,22198,2019
信託勘定借,1984,2019
その他負債,49895,2019
役員賞与引当金,48,2019
退職給付に係る負債,4848,2019
役員退職慰労引当金,390,2019
睡眠預金払戻損失引当金,905,2019
ポイント引当金,135,2019
偶発損失引当金,938,2019
特別法上の引当金,0,2019
繰延税金負債,15823,2019
再評価に係る繰延税金負債,7917,2019
支払承諾,10638,2019
負債の部合計,7608175,2019
資本金,48652,2019
資本剰余金,29255,2019
利益剰余金,376865,2019
自己株式,-16977,2019
株主資本合計,437795,2019
その他有価証券評価差額金,78127,2019
