項目,金額,年度
当期純利益,20682,2022
その他の包括利益,1480,2022
その他有価証券評価差額金,166,2022
為替換算調整勘定,1353,2022
退職給付に係る調整額,-38,2022
包括利益,22163,2022
親会社株主に係る包括利益,22261,2022
非支配株主に係る包括利益,-98,2022
企業名,Seven Bank,2022
税金等調整前当期純利益,27154,2022
減価償却費,16388,2022
減損損失,763,2022
持分法による投資損益（△は益）,694,2022
貸倒引当金の増減（△）,415,2022
賞与引当金の増減額（△は減少）,164,2022
退職給付に係る資産又は負債の増減額,-190,2022
株式給付引当金の増減額（△は減少）,140,2022
資金運用収益,-4032,2022
資金調達費用,602,2022
有価証券関係損益（△）,65,2022
固定資産処分損益（△は益）,753,2022
持分変動損益（△は益）,-415,2022
貸出金の純増（△）減,-3727,2022
預金の純増減（△）,7278,2022
借用金の純増減（△）,1228,2022
ＡＴＭ未決済資金の純増（△）減,1472,2022
資金運用による収入,4181,2022
資金調達による支出,-642,2022
その他,-2273,2022
小計,50023,2022
法人税等の支払額,-8734,2022
法人税等の還付額,22,2022
営業活動によるキャッシュ・フロー,41311,2022
有価証券の取得による支出,-23739,2022
有価証券の償還による収入,11892,2022
有形固定資産の取得による支出,-12468,2022
有形固定資産の売却による収入,19,2022
無形固定資産の取得による支出,-11817,2022
投資活動によるキャッシュ・フロー,-36114,2022
非支配株主からの払込みによる収入,337,2022
配当金の支払額,-12967,2022
自己株式の取得による支出,-97,2022
財務活動によるキャッシュ・フロー,-12727,2022
現金及び現金同等物に係る換算差額,989,2022
現金及び現金同等物の増減額（△は減少）,-6541,2022
現金及び現金同等物の期首残高,937945,2022
現金及び現金同等物の期末残高,931404,2022
企業名,Seven Bank,2022
現金預け金,937945,2021
有価証券,78154,2021
貸出金,24329,2021
外国為替,0,2021
ＡＴＭ仮払金,83681,2021
その他資産,17442,2021
有形固定資産,19218,2021
建物,1690,2021
ＡＴＭ,14342,2021
その他の有形固定資産,3185,2021
無形固定資産,34857,2021
ソフトウエア,26215,2021
その他の無形固定資産,8642,2021
退職給付に係る資産,909,2021
繰延税金資産,707,2021
貸倒引当金,-88,2021
資産の部合計,1197158,2021
預金,782658,2021
譲渡性預金,750,2021
借用金,591,2021
社債,105000,2021
ＡＴＭ仮受金,47046,2021
その他負債,25098,2021
賞与引当金,610,2021
退職給付に係る負債,6,2021
株式給付引当金,634,2021
繰延税金負債,87,2021
負債の部合計,962482,2021
資本金,30724,2021
資本剰余金,30724,2021
利益剰余金,168694,2021
自己株式,-1081,2021
株主資本合計,229061,2021
その他有価証券評価差額金,440,2021
為替換算調整勘定,3407,2021
退職給付に係る調整累計額,359,2021
その他の包括利益累計額合計,4207,2021
非支配株主持分,1407,2021
純資産の部合計,234676,2021
負債及び純資産の部合計,1197158,2021
企業名,Seven Bank,2021
経常収益,137267,2021
資金運用収益,3609,2021
貸出金利息,3475,2021
有価証券利息配当金,29,2021
コールローン利息,1,2021
預け金利息,102,2021
役務取引等収益,131709,2021
受入為替手数料,3438,2021
ＡＴＭ受入手数料,123501,2021
その他の役務収益,4769,2021
その他業務収益,201,2021
その他経常収益,1746,2021
その他の経常収益,1746,2021
経常費用,101626,2021
資金調達費用,539,2021
預金利息,67,2021
譲渡性預金利息,0,2021
コールマネー利息,-9,2021
借用金利息,14,2021
社債利息,467,2021
役務取引等費用,35360,2021
支払為替手数料,1773,2021
ＡＴＭ設置支払手数料,28282,2021
ＡＴＭ支払手数料,2444,2021
その他の役務費用,2859,2021
営業経費,64308,2021
その他経常費用,1418,2021
貸倒引当金繰入額,63,2021
その他の経常費用,1355,2021
経常利益,35640,2021
特別利益,273,2021
固定資産処分益,273,2021
特別損失,258,2021
固定資産処分損,258,2021
税金等調整前当期純利益,35655,2021
法人税、住民税及び事業税,9867,2021
法人税等調整額,51,2021
法人税等合計,9918,2021
当期純利益,25737,2021
非支配株主に帰属する当期純損失（△）,-168,2021
親会社株主に帰属する当期純利益,25905,2021
当期純利益,25737,2021
その他の包括利益,-131,2021
その他有価証券評価差額金,-59,2021
為替換算調整勘定,-369,2021
退職給付に係る調整額,296,2021
包括利益,25605,2021
親会社株主に係る包括利益,25782,2021
非支配株主に係る包括利益,-177,2021
企業名,Seven Bank,2021
税金等調整前当期純利益,35655,2021
減価償却費,14070,2021
持分法による投資損益（△は益）,796,2021
貸倒引当金の増減（△）,63,2021
賞与引当金の増減額（△は減少）,45,2021
退職給付に係る資産又は負債の増減額,-100,2021
役員退職慰労引当金の増減額（△は減少）,-4,2021
株式給付引当金の増減額（△は減少）,397,2021
資金運用収益,-3609,2021
資金調達費用,539,2021
有価証券関係損益（△）,88,2021
固定資産処分損益（△は益）,-14,2021
貸出金の純増（△）減,-1045,2021
預金の純増減（△）,98898,2021
譲渡性預金の純増減（△）,-50,2021
借用金の純増減（△）,404,2021
ＡＴＭ未決済資金の純増（△）減,274,2021
資金運用による収入,3815,2021
資金調達による支出,-613,2021
その他,-213,2021
小計,149397,2021
法人税等の支払額,-13358,2021
営業活動によるキャッシュ・フロー,136039,2021
有価証券の取得による支出,-20484,2021
有価証券の償還による収入,13084,2021
有形固定資産の取得による支出,-10436,2021
有形固定資産の売却による収入,273,2021
無形固定資産の取得による支出,-14808,2021
無形固定資産の売却による収入,100,2021
持分法適用関連会社株式の取得による支出,-499,2021
投資活動によるキャッシュ・フロー,-32770,2021
非支配株主からの払込みによる収入,183,2021
ストックオプションの行使による収入,0,2021
配当金の支払額,-12968,2021
自己株式の取得による支出,-770,2021
財務活動によるキャッシュ・フロー,-13555,2021
現金及び現金同等物に係る換算差額,-213,2021
現金及び現金同等物の増減額（△は減少）,89498,2021
現金及び現金同等物の期首残高,848446,2021
現金及び現金同等物の期末残高,937945,2021
企業名,Seven Bank,2021
現金預け金,848446,2020
有価証券,70911,2020
貸出金,23283,2020
外国為替,0,2020
ＡＴＭ仮払金,81965,2020
その他資産,16365,2020
有形固定資産,13985,2020
建物,1630,2020
ＡＴＭ,9042,2020
その他の有形固定資産,3312,2020
無形固定資産,29665,2020
ソフトウエア,20930,2020
その他の無形固定資産,8734,2020
退職給付に係る資産,378,2020
繰延税金資産,909,2020
貸倒引当金,-25,2020
資産の部合計,1085885,2020
預金,683760,2020
譲渡性預金,800,2020
借用金,196,2020
社債,105000,2020
ＡＴＭ仮受金,45052,2020
その他負債,27288,2020
賞与引当金,573,2020
退職給付に係る負債,3,2020
役員退職慰労引当金,4,2020
株式給付引当金,236,2020
繰延税金負債,137,2020
負債の部合計,863051,2020
資本金,30702,2020
資本剰余金,30757,2020
利益剰余金,155760,2020
自己株式,-338,2020
株主資本合計,216882,2020
その他有価証券評価差額金,499,2020
為替換算調整勘定,3767,2020
退職給付に係る調整累計額,62,2020
その他の包括利益累計額合計,4329,2020
新株予約権,274,2020
非支配株主持分,1346,2020
純資産の部合計,222833,2020
負債及び純資産の部合計,1085885,2020
企業名,Seven Bank,2020
経常収益,148553,2020
資金運用収益,3569,2020
貸出金利息,3451,2020
有価証券利息配当金,26,2020
コールローン利息,0,2020
預け金利息,90,2020
役務取引等収益,144280,2020
受入為替手数料,3062,2020
ＡＴＭ受入手数料,136486,2020
その他の役務収益,4730,2020
その他業務収益,281,2020
その他経常収益,422,2020
その他の経常収益,422,2020
経常費用,108716,2020
資金調達費用,674,2020
預金利息,99,2020
譲渡性預金利息,0,2020
コールマネー利息,-12,2020
借用金利息,15,2020
社債利息,570,2020
役務取引等費用,40305,2020
支払為替手数料,1591,2020
ＡＴＭ設置支払手数料,31013,2020
ＡＴＭ支払手数料,4886,2020
その他の役務費用,2813,2020
営業経費,62813,2020
その他経常費用,4922,2020
貸倒引当金繰入額,2,2020
その他の経常費用,4920,2020
経常利益,39836,2020
特別利益,91,2020
固定資産処分益,91,2020
特別損失,147,2020
固定資産処分損,147,2020
税金等調整前当期純利益,39780,2020
法人税、住民税及び事業税,13840,2020
法人税等調整額,-164,2020
法人税等合計,13675,2020
当期純利益,26105,2020
非支配株主に帰属する当期純損失（△）,-57,2020
親会社株主に帰属する当期純利益,26162,2020
当期純利益,26105,2020
その他の包括利益,-165,2020
その他有価証券評価差額金,7,2020
為替換算調整勘定,-53,2020
退職給付に係る調整額,-119,2020
包括利益,25939,2020
親会社株主に係る包括利益,26019,2020
非支配株主に係る包括利益,-79,2020
企業名,Seven Bank,2020
税金等調整前当期純利益,39780,2020
減価償却費,14634,2020
持分法による投資損益（△は益）,4770,2020
貸倒引当金の増減（△）,1,2020
賞与引当金の増減額（△は減少）,36,2020
退職給付に係る資産又は負債の増減額,-106,2020
役員退職慰労引当金の増減額（△は減少）,-1,2020
株式給付引当金の増減額（△は減少）,69,2020
資金運用収益,-3569,2020
資金調達費用,674,2020
有価証券関係損益（△）,38,2020
固定資産処分損益（△は益）,56,2020
貸出金の純増（△）減,-595,2020
預金の純増減（△）,5095,2020
譲渡性預金の純増減（△）,-10,2020
借用金の純増減（△）,-9807,2020
普通社債発行及び償還による増減（△）,-30000,2020
ＡＴＭ未決済資金の純増（△）減,77146,2020
資金運用による収入,3840,2020
資金調達による支出,-805,2020
その他,1398,2020
小計,102648,2020
法人税等の支払額,-13029,2020
営業活動によるキャッシュ・フロー,89619,2020
有価証券の取得による支出,-16171,2020
有価証券の償還による収入,27920,2020
有形固定資産の取得による支出,-4547,2020
有形固定資産の売却による収入,98,2020
無形固定資産の取得による支出,-11100,2020
持分法適用関連会社株式の取得による支出,-2000,2020
投資活動によるキャッシュ・フロー,-5801,2020
非支配株主からの払込みによる収入,1487,2020
ストックオプションの行使による収入,0,2020
配当金の支払額,-13635,2020
自己株式の取得による支出,-3857,2020
その他,-3,2020
財務活動によるキャッシュ・フロー,-16009,2020
現金及び現金同等物に係る換算差額,-11,2020
現金及び現金同等物の増減額（△は減少）,67796,2020
現金及び現金同等物の期首残高,780650,2020
現金及び現金同等物の期末残高,848446,2020
企業名,Seven Bank,2020
現金預け金,780650,2019
有価証券,85639,2019
貸出金,22688,2019
外国為替,0,2019
ＡＴＭ仮払金,194910,2019
その他資産,15074,2019
有形固定資産,15155,2019
建物,1669,2019
ＡＴＭ,11062,2019
その他の有形固定資産,2424,2019
無形固定資産,26655,2019
ソフトウエア,20708,2019
その他の無形固定資産,5946,2019
退職給付に係る資産,444,2019
繰延税金資産,732,2019
貸倒引当金,-23,2019
資産の部合計,1141926,2019
預金,678664,2019
譲渡性預金,810,2019
借用金,10000,2019
社債,135000,2019
ＡＴＭ仮受金,80853,2019
その他負債,22816,2019
賞与引当金,537,2019
退職給付に係る負債,2,2019
役員退職慰労引当金,5,2019
株式給付引当金,166,2019
繰延税金負債,179,2019
負債の部合計,929036,2019
資本金,30679,2019
資本剰余金,30661,2019
利益剰余金,147094,2019
自己株式,-352,2019
株主資本合計,208083,2019
その他有価証券評価差額金,492,2019
為替換算調整勘定,3798,2019
退職給付に係る調整累計額,182,2019
その他の包括利益累計額合計,4473,2019
新株予約権,320,2019
非支配株主持分,11,2019
純資産の部合計,212890,2019
負債及び純資産の部合計,1141926,2019
企業名,Seven Bank,2019
経常収益,147288,2019
資金運用収益,3529,2019
貸出金利息,3419,2019
有価証券利息配当金,21,2019
コールローン利息,0,2019
預け金利息,87,2019
役務取引等収益,142614,2019
受入為替手数料,2750,2019
ＡＴＭ受入手数料,135324,2019
その他の役務収益,4538,2019
その他業務収益,275,2019
その他経常収益,869,2019
貸倒引当金戻入益,13,2019
その他の経常収益,856,2019
経常費用,106574,2019
資金調達費用,686,2019
預金利息,119,2019
譲渡性預金利息,0,2019
コールマネー利息,-37,2019
借用金利息,74,2019
社債利息,530,2019
役務取引等費用,39236,2019
支払為替手数料,1476,2019
ＡＴＭ設置支払手数料,30511,2019
ＡＴＭ支払手数料,4499,2019
その他の役務費用,2749,2019
その他業務費用,116,2019
営業経費,66070,2019
その他経常費用,462,2019
その他の経常費用,462,2019
経常利益,40714,2019
特別損失,14970,2019
固定資産処分損,139,2019
減損損失,14830,2019
税金等調整前当期純利益,25744,2019
法人税、住民税及び事業税,13119,2019
法人税等調整額,-605,2019
法人税等合計,12513,2019
当期純利益,13230,2019
非支配株主に帰属する当期純損失（△）,-5,2019
親会社株主に帰属する当期純利益,13236,2019
当期純利益,13230,2019
その他の包括利益,-179,2019
その他有価証券評価差額金,248,2019
為替換算調整勘定,-511,2019
退職給付に係る調整額,83,2019
包括利益,13051,2019
親会社株主に係る包括利益,13058,2019
非支配株主に係る包括利益,-7,2019
企業名,Seven Bank,2019
税金等調整前当期純利益,25744,2019
減価償却費,17529,2019
減損損失,14830,2019
のれん償却額,487,2019
持分法による投資損益（△は益）,239,2019
貸倒引当金の増減（△）,-13,2019
賞与引当金の増減額（△は減少）,80,2019
退職給付に係る資産又は負債の増減額,-59,2019
役員退職慰労引当金の増減額（△は減少）,3,2019
株式給付引当金の増減額（△は減少）,64,2019
資金運用収益,-3529,2019
資金調達費用,686,2019
有価証券関係損益（△）,49,2019
固定資産処分損益（△は益）,139,2019
貸出金の純増（△）減,27,2019
預金の純増減（△）,56257,2019
譲渡性預金の純増減（△）,10,2019
普通社債発行及び償還による増減（△）,40000,2019
ＡＴＭ未決済資金の純増（△）減,-26118,2019
資金運用による収入,3848,2019
資金調達による支出,-757,2019
その他,2062,2019
小計,131584,2019
法人税等の支払額,-14115,2019
法人税等の還付額,2,2019
営業活動によるキャッシュ・フロー,117471,2019
有価証券の取得による支出,-39313,2019
有価証券の償還による収入,20630,2019
有形固定資産の取得による支出,-3121,2019
無形固定資産の取得による支出,-8664,2019
無形固定資産の売却による収入,586,2019
持分法適用関連会社株式の取得による支出,-4999,2019
投資活動によるキャッシュ・フロー,-34882,2019
ストックオプションの行使による収入,0,2019
配当金の支払額,-12215,2019
その他,-32,2019
財務活動によるキャッシュ・フロー,-12246,2019
現金及び現金同等物に係る換算差額,-60,2019
現金及び現金同等物の増減額（△は減少）,70281,2019
現金及び現金同等物の期首残高,710369,2019
現金及び現金同等物の期末残高,780650,2019
企業名,Seven Bank,2019
現金預け金,710369,2018
有価証券,61939,2018
貸出金,22715,2018
外国為替,0,2018
ＡＴＭ仮払金,146977,2018
その他資産,18537,2018
有形固定資産,24798,2018
建物,1691,2018
ＡＴＭ,19804,2018
その他の有形固定資産,3301,2018
無形固定資産,35958,2018
ソフトウエア,16873,2018
その他の無形固定資産,19084,2018
退職給付に係る資産,264,2018
繰延税金資産,962,2018
貸倒引当金,-36,2018
資産の部合計,1022485,2018
預金,622406,2018
譲渡性預金,800,2018
借用金,10000,2018
社債,95000,2018
ＡＴＭ仮受金,59032,2018
その他負債,21769,2018
賞与引当金,457,2018
退職給付に係る負債,2,2018
役員退職慰労引当金,2,2018
株式給付引当金,102,2018
繰延税金負債,885,2018
負債の部合計,810458,2018
資本金,30572,2018
資本剰余金,30554,2018
利益剰余金,146075,2018
自己株式,-380,2018
株主資本合計,206823,2018
その他有価証券評価差額金,244,2018
為替換算調整勘定,4308,2018
退職給付に係る調整累計額,98,2018
その他の包括利益累計額合計,4651,2018
新株予約権,533,2018
非支配株主持分,18,2018
純資産の部合計,212027,2018
負債及び純資産の部合計,1022485,2018
企業名,Seven Bank,2018
経常収益,127656,2018
資金運用収益,3391,2018
貸出金利息,3271,2018
有価証券利息配当金,18,2018
コールローン利息,1,2018
預け金利息,100,2018
役務取引等収益,123507,2018
受入為替手数料,2582,2018
ＡＴＭ受入手数料,116854,2018
その他の役務収益,4070,2018
その他業務収益,279,2018
その他経常収益,477,2018
その他の経常収益,477,2018
経常費用,89350,2018
資金調達費用,718,2018
預金利息,163,2018
譲渡性預金利息,0,2018
コールマネー利息,-28,2018
借用金利息,76,2018
社債利息,506,2018
役務取引等費用,26583,2018
支払為替手数料,1466,2018
ＡＴＭ設置支払手数料,20853,2018
ＡＴＭ支払手数料,2375,2018
その他の役務費用,1888,2018
その他業務費用,90,2018
営業経費,61645,2018
その他経常費用,312,2018
貸倒引当金繰入額,6,2018
その他の経常費用,306,2018
経常利益,38305,2018
特別損失,141,2018
固定資産処分損,141,2018
税金等調整前当期純利益,38163,2018
