項目,金額,年度
企業名,Seven Bank,2025
現金預け金,988932,2024
コールローン,50000,2024
有価証券,118077,2024
貸出金,56289,2024
外国為替,0,2024
ＡＴＭ仮払金,205420,2024
会員未収金,134340,2024
その他資産,76038,2024
有形固定資産,39150,2024
建物,1970,2024
ＡＴＭ,32302,2024
その他の有形固定資産,4877,2024
無形固定資産,46795,2024
ソフトウエア,36530,2024
その他の無形固定資産,10264,2024
退職給付に係る資産,2615,2024
繰延税金資産,4751,2024
貸倒引当金,-4593,2024
資産の部合計,1717818,2024
預金,914768,2024
譲渡性預金,650,2024
コールマネー,110000,2024
借用金,19052,2024
社債,65000,2024
ＡＴＭ仮受金,118566,2024
クレジットカード事業未払金,42429,2024
電子マネー預り金,70899,2024
その他負債,97177,2024
賞与引当金,1032,2024
退職給付に係る負債,25,2024
役員退職慰労引当金,29,2024
株式給付引当金,812,2024
訴訟損失引当金,1418,2024
繰延税金負債,99,2024
負債の部合計,1441962,2024
資本金,30724,2024
資本剰余金,30850,2024
利益剰余金,201836,2024
自己株式,-2744,2024
株主資本合計,260666,2024
その他有価証券評価差額金,607,2024
為替換算調整勘定,8574,2024
退職給付に係る調整累計額,688,2024
その他の包括利益累計額合計,9870,2024
新株予約権,12,2024
非支配株主持分,5306,2024
純資産の部合計,275856,2024
負債及び純資産の部合計,1717818,2024
企業名,Seven Bank,2024
経常収益,197877,2024
資金運用収益,8158,2024
貸出金利息,7453,2024
有価証券利息配当金,147,2024
コールローン利息,49,2024
預け金利息,508,2024
役務取引等収益,186235,2024
受入為替手数料,3744,2024
ＡＴＭ受入手数料,149446,2024
クレジットカード営業収入,10058,2024
電子マネー営業収入,10201,2024
その他の役務収益,12783,2024
その他業務収益,309,2024
その他経常収益,3174,2024
その他の経常収益,3174,2024
経常費用,167351,2024
資金調達費用,1174,2024
預金利息,32,2024
譲渡性預金利息,0,2024
コールマネー利息,-59,2024
借用金利息,903,2024
社債利息,298,2024
役務取引等費用,53418,2024
支払為替手数料,1808,2024
ＡＴＭ設置支払手数料,31541,2024
ＡＴＭ支払手数料,10187,2024
クレジットカード業務経費,4306,2024
電子マネー業務経費,726,2024
その他の役務費用,4849,2024
営業経費,108084,2024
その他経常費用,4673,2024
貸倒引当金繰入額,2179,2024
その他の経常費用,2493,2024
経常利益,30526,2024
特別利益,22326,2024
固定資産処分益,0,2024
関係会社株式売却益,785,2024
負ののれん発生益,21540,2024
特別損失,7722,2024
固定資産処分損,549,2024
減損損失,351,2024
マイナポイント関連損失,4619,2024
訴訟損失引当金繰入額,1406,2024
その他の特別損失,795,2024
税金等調整前当期純利益,45130,2024
法人税、住民税及び事業税,8503,2024
法人税等調整額,4667,2024
法人税等合計,13170,2024
当期純利益,31959,2024
非支配株主に帰属する当期純損失（△）,-11,2024
親会社株主に帰属する当期純利益,31970,2024
当期純利益,31959,2024
その他の包括利益,2428,2024
その他有価証券評価差額金,107,2024
為替換算調整勘定,2030,2024
退職給付に係る調整額,289,2024
包括利益,34387,2024
親会社株主に係る包括利益,34156,2024
非支配株主に係る包括利益,230,2024
企業名,Seven Bank,2024
税金等調整前当期純利益,45130,2024
減価償却費,23302,2024
減損損失,351,2024
マイナポイント関連損失,4619,2024
のれん償却額,90,2024
負ののれん発生益,-21540,2024
持分法による投資損益（△は益）,19,2024
貸倒引当金の増減（△）,-169,2024
賞与引当金の増減額（△は減少）,138,2024
退職給付に係る資産又は負債の増減額,-256,2024
役員退職慰労引当金の増減額（△は減少）,-3,2024
株式給付引当金の増減額（△は減少）,181,2024
訴訟損失引当金の増減額（△は減少）,1406,2024
資金運用収益,-8158,2024
資金調達費用,1174,2024
有価証券関係損益（△）,820,2024
固定資産処分損益（△は益）,549,2024
貸出金の純増（△）減,-8950,2024
預金の純増減（△）,94010,2024
譲渡性預金の純増減（△）,-100,2024
借用金の純増減（△）,8298,2024
預け金（現金同等物を除く）の純増（△）減,1591,2024
コールローン等の純増（△）減,-22000,2024
コールマネー等の純増減（△）,60000,2024
普通社債発行及び償還による増減（△）,-20000,2024
ＡＴＭ未決済資金の純増（△）減,-43217,2024
会員未収金の純増（△）減,3570,2024
クレジットカード事業未払金の純増減（△）,1396,2024
電子マネー預り金の純増減（△）,-9765,2024
資金運用による収入,8391,2024
資金調達による支出,-1186,2024
その他,-6099,2024
小計,113594,2024
法人税等の支払額,-12849,2024
法人税等の還付額,6,2024
営業活動によるキャッシュ・フロー,100751,2024
有価証券の取得による支出,-37590,2024
有価証券の売却による収入,1279,2024
有価証券の償還による収入,18048,2024
有形固定資産の取得による支出,-17739,2024
有形固定資産の売却による収入,0,2024
無形固定資産の取得による支出,-21534,2024
連結の範囲の変更を伴う子会社株式の取得による収入,5598,2024
投資活動によるキャッシュ・フロー,-51937,2024
非支配株主からの払込みによる収入,2988,2024
連結の範囲の変更を伴わない子会社株式の取得による支出,-189,2024
配当金の支払額,-12966,2024
自己株式の取得による支出,-1873,2024
その他,-49,2024
財務活動によるキャッシュ・フロー,-12090,2024
現金及び現金同等物に係る換算差額,1742,2024
現金及び現金同等物の増減額（△は減少）,38464,2024
現金及び現金同等物の期首残高,950256,2024
現金及び現金同等物の期末残高,988721,2024
企業名,Seven Bank,2024
現金預け金,952027,2023
コールローン,28000,2023
有価証券,99651,2023
貸出金,35111,2023
外国為替,0,2023
ＡＴＭ仮払金,98296,2023
その他資産,30273,2023
有形固定資産,30256,2023
建物,1804,2023
ＡＴＭ,24281,2023
その他の有形固定資産,4170,2023
無形固定資産,34350,2023
ソフトウエア,27342,2023
その他の無形固定資産,7007,2023
退職給付に係る資産,1113,2023
繰延税金資産,4712,2023
貸倒引当金,-1521,2023
資産の部合計,1312273,2023
預金,820758,2023
譲渡性預金,750,2023
コールマネー,50000,2023
借用金,9958,2023
社債,85000,2023
ＡＴＭ仮受金,54773,2023
その他負債,35282,2023
賞与引当金,826,2023
退職給付に係る負債,15,2023
株式給付引当金,631,2023
繰延税金負債,34,2023
負債の部合計,1058031,2023
資本金,30724,2023
資本剰余金,30864,2023
利益剰余金,182431,2023
自己株式,-900,2023
株主資本合計,243120,2023
その他有価証券評価差額金,500,2023
為替換算調整勘定,6783,2023
退職給付に係る調整累計額,226,2023
その他の包括利益累計額合計,7510,2023
非支配株主持分,3611,2023
純資産の部合計,254242,2023
負債及び純資産の部合計,1312273,2023
企業名,Seven Bank,2023
経常収益,154984,2023
資金運用収益,4932,2023
貸出金利息,4669,2023
有価証券利息配当金,85,2023
コールローン利息,39,2023
預け金利息,137,2023
役務取引等収益,147718,2023
受入為替手数料,3312,2023
ＡＴＭ受入手数料,135122,2023
その他の役務収益,9283,2023
その他業務収益,488,2023
その他経常収益,1845,2023
その他の経常収益,1845,2023
経常費用,126059,2023
資金調達費用,815,2023
預金利息,33,2023
譲渡性預金利息,0,2023
コールマネー利息,-25,2023
借用金利息,346,2023
社債利息,460,2023
役務取引等費用,42258,2023
支払為替手数料,1508,2023
ＡＴＭ設置支払手数料,31216,2023
ＡＴＭ支払手数料,5663,2023
その他の役務費用,3870,2023
営業経費,80195,2023
その他経常費用,2790,2023
貸倒引当金繰入額,1017,2023
その他の経常費用,1772,2023
経常利益,28924,2023
特別利益,6,2023
固定資産処分益,6,2023
特別損失,1507,2023
固定資産処分損,252,2023
減損損失,1254,2023
税金等調整前当期純利益,27423,2023
法人税、住民税及び事業税,10030,2023
法人税等調整額,-1167,2023
法人税等合計,8863,2023
当期純利益,18560,2023
非支配株主に帰属する当期純損失（△）,-294,2023
親会社株主に帰属する当期純利益,18854,2023
当期純利益,18560,2023
その他の包括利益,1898,2023
その他有価証券評価差額金,-106,2023
為替換算調整勘定,2100,2023
退職給付に係る調整額,-94,2023
包括利益,20459,2023
親会社株主に係る包括利益,20723,2023
非支配株主に係る包括利益,-264,2023
企業名,Seven Bank,2023
税金等調整前当期純利益,27423,2023
減価償却費,19526,2023
減損損失,1254,2023
のれん償却額,30,2023
持分法による投資損益（△は益）,576,2023
貸倒引当金の増減（△）,1017,2023
賞与引当金の増減額（△は減少）,15,2023
退職給付に係る資産又は負債の増減額,-182,2023
株式給付引当金の増減額（△は減少）,-142,2023
資金運用収益,-4932,2023
資金調達費用,815,2023
有価証券関係損益（△）,-441,2023
固定資産処分損益（△は益）,246,2023
貸出金の純増（△）減,-7054,2023
預金の純増減（△）,30820,2023
借用金の純増減（△）,8318,2023
預け金（現金同等物を除く）の純増（△）減,-1591,2023
コールローン等の純増（△）減,-28000,2023
コールマネー等の純増減（△）,50000,2023
普通社債発行及び償還による増減（△）,-20000,2023
ＡＴＭ未決済資金の純増（△）減,-8291,2023
資金運用による収入,5083,2023
資金調達による支出,-820,2023
その他,1145,2023
小計,74818,2023
法人税等の支払額,-8268,2023
法人税等の還付額,27,2023
営業活動によるキャッシュ・フロー,66577,2023
有価証券の取得による支出,-48079,2023
有価証券の売却による収入,1947,2023
有価証券の償還による収入,35713,2023
有形固定資産の取得による支出,-13328,2023
有形固定資産の売却による収入,6,2023
無形固定資産の取得による支出,-11991,2023
連結の範囲の変更を伴う子会社株式の取得による支出,-459,2023
投資活動によるキャッシュ・フロー,-36191,2023
配当金の支払額,-12973,2023
自己株式の取得による支出,-0,2023
財務活動によるキャッシュ・フロー,-12973,2023
現金及び現金同等物に係る換算差額,1440,2023
現金及び現金同等物の増減額（△は減少）,18852,2023
現金及び現金同等物の期首残高,931404,2023
現金及び現金同等物の期末残高,950256,2023
企業名,Seven Bank,2023
現金預け金,931404,2022
有価証券,89945,2022
貸出金,28056,2022
外国為替,0,2022
ＡＴＭ仮払金,84461,2022
その他資産,24062,2022
有形固定資産,26571,2022
建物,1784,2022
ＡＴＭ,20947,2022
その他の有形固定資産,3839,2022
無形固定資産,33593,2022
ソフトウエア,28605,2022
その他の無形固定資産,4988,2022
退職給付に係る資産,1051,2022
繰延税金資産,2979,2022
貸倒引当金,-504,2022
資産の部合計,1221623,2022
預金,789937,2022
譲渡性預金,750,2022
借用金,1936,2022
社債,105000,2022
ＡＴＭ仮受金,49233,2022
その他負債,29071,2022
賞与引当金,789,2022
退職給付に係る負債,13,2022
株式給付引当金,774,2022
繰延税金負債,3,2022
負債の部合計,977509,2022
資本金,30724,2022
資本剰余金,30764,2022
利益剰余金,176549,2022
自己株式,-1173,2022
株主資本合計,236864,2022
その他有価証券評価差額金,606,2022
為替換算調整勘定,4714,2022
退職給付に係る調整累計額,320,2022
その他の包括利益累計額合計,5641,2022
非支配株主持分,1606,2022
純資産の部合計,244113,2022
負債及び純資産の部合計,1221623,2022
企業名,Seven Bank,2022
経常収益,136667,2022
資金運用収益,4032,2022
貸出金利息,3890,2022
有価証券利息配当金,34,2022
コールローン利息,5,2022
預け金利息,102,2022
役務取引等収益,131320,2022
受入為替手数料,3362,2022
ＡＴＭ受入手数料,121731,2022
その他の役務収益,6225,2022
その他業務収益,390,2022
その他経常収益,924,2022
その他の経常収益,924,2022
経常費用,108412,2022
資金調達費用,602,2022
預金利息,45,2022
譲渡性預金利息,0,2022
コールマネー利息,-4,2022
借用金利息,94,2022
社債利息,466,2022
役務取引等費用,35816,2022
支払為替手数料,1631,2022
ＡＴＭ設置支払手数料,28345,2022
ＡＴＭ支払手数料,2327,2022
その他の役務費用,3511,2022
営業経費,70245,2022
その他経常費用,1747,2022
貸倒引当金繰入額,415,2022
その他の経常費用,1332,2022
経常利益,28255,2022
特別利益,435,2022
固定資産処分益,19,2022
持分変動利益,415,2022
特別損失,1536,2022
固定資産処分損,773,2022
減損損失,763,2022
税金等調整前当期純利益,27154,2022
法人税、住民税及び事業税,8772,2022
法人税等調整額,-2300,2022
法人税等合計,6471,2022
当期純利益,20682,2022
非支配株主に帰属する当期純損失（△）,-144,2022
親会社株主に帰属する当期純利益,20827,2022
