項目,金額,年度
企業名,Rakuten Bank,2025
現金預け金,4791097,2024
コールローン,6387,2024
債券貸借取引支払保証金,554524,2024
買入金銭債権,2550812,2024
有価証券,1090506,2024
貸出金,4069567,2024
外国為替,25501,2024
その他資産,345415,2024
有形固定資産,4336,2024
建物,685,2024
その他の有形固定資産,3651,2024
無形固定資産,23488,2024
ソフトウエア,15791,2024
ソフトウエア仮勘定,7670,2024
のれん,26,2024
その他の無形固定資産,0,2024
繰延税金資産,10677,2024
支払承諾見返,11915,2024
貸倒引当金,-3756,2024
資産の部合計,13480473,2024
預金,10442382,2024
コールマネー,14382,2024
債券貸借取引受入担保金,9632,2024
借用金,2565800,2024
外国為替,4031,2024
その他負債,150631,2024
賞与引当金,647,2024
役員賞与引当金,5,2024
退職給付に係る負債,1442,2024
睡眠預金払戻損失引当金,13,2024
支払承諾,11915,2024
負債の部合計,13200885,2024
資本金,32616,2024
資本剰余金,10543,2024
利益剰余金,221151,2024
自己株式,-0,2024
株主資本合計,264311,2024
その他有価証券評価差額金,-8809,2024
繰延ヘッジ損益,-188,2024
為替換算調整勘定,5335,2024
退職給付に係る調整累計額,0,2024
その他の包括利益累計額合計,-3662,2024
新株予約権,44,2024
非支配株主持分,18894,2024
純資産の部合計,279587,2024
負債及び純資産の部合計,13480473,2024
企業名,Rakuten Bank,2024
経常収益,137950,2024
資金運用収益,84518,2024
貸出金利息,54894,2024
有価証券利息配当金,5608,2024
コールローン利息,115,2024
債券貸借取引受入利息,558,2024
預け金利息,336,2024
その他の受入利息,23005,2024
役務取引等収益,42849,2024
その他業務収益,8219,2024
その他経常収益,898,2024
償却債権取立益,6,2024
その他の経常収益,892,2024
信託報酬,1464,2024
経常費用,89583,2024
資金調達費用,11125,2024
預金利息,7242,2024
コールマネー利息,183,2024
債券貸借取引支払利息,56,2024
その他の支払利息,3642,2024
役務取引等費用,33407,2024
営業経費,41950,2024
その他経常費用,3100,2024
貸倒引当金繰入額,1951,2024
その他の経常費用,1148,2024
経常利益,48367,2024
特別損失,79,2024
固定資産処分損,79,2024
税金等調整前当期純利益,48287,2024
法人税、住民税及び事業税,16684,2024
法人税等調整額,-1593,2024
法人税等合計,15091,2024
当期純利益,33196,2024
非支配株主に帰属する当期純損失（△）,-1240,2024
親会社株主に帰属する当期純利益,34436,2024
当期純利益,33196,2024
その他有価証券評価差額金,-1475,2024
繰延ヘッジ損益,-175,2024
為替換算調整勘定,3028,2024
退職給付に係る調整額,-38,2024
その他の包括利益合計,1338,2024
包括利益,34534,2024
親会社株主に係る包括利益,34291,2024
非支配株主に係る包括利益,242,2024
企業名,Rakuten Bank,2024
税金等調整前当期純利益,48287,2024
減価償却費,5073,2024
のれん償却額,35,2024
株式報酬費用,143,2024
貸倒引当金の増減（△）,1582,2024
賞与引当金の増減額（△は減少）,10,2024
