項目,金額,年度
役員賞与引当金の増減額（△は減少）,0,2024
退職給付に係る負債の増減額（△は減少）,94,2024
睡眠預金払戻損失引当金の増減（△）,1,2024
資金運用収益,-84518,2024
資金調達費用,11125,2024
有価証券関係損益（△）,-10,2024
為替差損益（△は益）,-6072,2024
固定資産処分損益（△は益）,79,2024
貸出金の純増（△）減,-287328,2024
預金の純増減（△）,1448715,2024
債券貸借取引受入担保金の純増減（△）,5280,2024
借用金（劣後特約付借入金を除く）の純増減（△）,288400,2024
コールローン等の純増（△）減,1544,2024
預け金（現金同等物を除く）の純増（△）減,-3,2024
債券貸借取引支払保証金の純増（△）減,7185,2024
コールマネー等の純増減（△）,1336,2024
外国為替（資産）の純増（△）減,-15597,2024
外国為替（負債）の純増減（△）,1011,2024
買入金銭債権の純増（△）減,-430987,2024
権利金保証金の純増（△）減,-18072,2024
資金運用による収入,84224,2024
資金調達による支出,-10706,2024
その他,-12421,2024
小計,1038416,2024
法人税等の支払額,-10535,2024
営業活動によるキャッシュ・フロー,1027880,2024
有価証券の取得による支出,-592468,2024
有価証券の売却による収入,7823,2024
有価証券の償還による収入,292955,2024
有形固定資産の取得による支出,-1308,2024
無形固定資産の取得による支出,-8061,2024
投資活動によるキャッシュ・フロー,-301058,2024
株式の発行による収入,13324,2024
自己株式の取得による支出,-0,2024
財務活動によるキャッシュ・フロー,13324,2024
現金及び現金同等物に係る換算差額,719,2024
現金及び現金同等物の増減額（△は減少）,740866,2024
現金及び現金同等物の期首残高,4050224,2024
現金及び現金同等物の期末残高,4791091,2024
企業名,Rakuten Bank,2024
現金預け金,4050227,2023
コールローン,7370,2023
債券貸借取引支払保証金,559174,2023
買入金銭債権,2103059,2023
有価証券,780373,2023
貸出金,3780587,2023
外国為替,9904,2023
その他資産,260223,2023
有形固定資産,3715,2023
建物,415,2023
その他の有形固定資産,3299,2023
無形固定資産,19266,2023
ソフトウエア,14792,2023
ソフトウエア仮勘定,4411,2023
のれん,61,2023
その他の無形固定資産,0,2023
繰延税金資産,8228,2023
支払承諾見返,9533,2023
貸倒引当金,-2156,2023
資産の部合計,11589508,2023
預金,8985693,2023
コールマネー,12028,2023
債券貸借取引受入担保金,3895,2023
借用金,2277400,2023
外国為替,3019,2023
その他負債,64313,2023
賞与引当金,630,2023
役員賞与引当金,5,2023
退職給付に係る負債,1292,2023
睡眠預金払戻損失引当金,11,2023
支払承諾,9533,2023
負債の部合計,11357824,2023
資本金,25954,2023
資本剰余金,3880,2023
利益剰余金,186714,2023
株主資本合計,216549,2023
その他有価証券評価差額金,-7364,2023
繰延ヘッジ損益,-12,2023
為替換算調整勘定,3821,2023
退職給付に係る調整累計額,38,2023
その他の包括利益累計額合計,-3517,2023
非支配株主持分,18651,2023
純資産の部合計,231684,2023
負債及び純資産の部合計,11589508,2023
企業名,Rakuten Bank,2023
経常収益,120445,2023
資金運用収益,69010,2023
貸出金利息,48077,2023
有価証券利息配当金,1894,2023
コールローン利息,81,2023
債券貸借取引受入利息,271,2023
預け金利息,388,2023
その他の受入利息,18297,2023
役務取引等収益,41151,2023
その他業務収益,8430,2023
その他経常収益,614,2023
償却債権取立益,11,2023
その他の経常収益,602,2023
信託報酬,1239,2023
経常費用,81699,2023
資金調達費用,6632,2023
預金利息,5729,2023
コールマネー利息,45,2023
その他の支払利息,857,2023
役務取引等費用,33278,2023
その他業務費用,3,2023
営業経費,39201,2023
その他経常費用,2583,2023
貸倒引当金繰入額,1197,2023
その他の経常費用,1386,2023
経常利益,38746,2023
特別損失,0,2023
固定資産処分損,0,2023
税金等調整前当期純利益,38746,2023
法人税、住民税及び事業税,13696,2023
法人税等調整額,-1411,2023
法人税等合計,12284,2023
当期純利益,26461,2023
非支配株主に帰属する当期純損失（△）,-1230,2023
親会社株主に帰属する当期純利益,27692,2023
当期純利益,26461,2023
その他有価証券評価差額金,-3851,2023
繰延ヘッジ損益,-22,2023
為替換算調整勘定,1102,2023
退職給付に係る調整額,85,2023
その他の包括利益合計,-2684,2023
包括利益,23776,2023
親会社株主に係る包括利益,24538,2023
非支配株主に係る包括利益,-761,2023
企業名,Rakuten Bank,2023
税金等調整前当期純利益,38746,2023
減価償却費,4503,2023
のれん償却額,35,2023
貸倒引当金の増減（△）,931,2023
賞与引当金の増減額（△は減少）,65,2023
退職給付に係る負債の増減額（△は減少）,253,2023
睡眠預金払戻損失引当金の増減（△）,8,2023
資金運用収益,-69010,2023
資金調達費用,6632,2023
有価証券関係損益（△）,-33,2023
固定資産処分損益（△は益）,0,2023
貸出金の純増（△）減,-836833,2023
預金の純増減（△）,1401026,2023
債券貸借取引受入担保金の純増減（△）,3962,2023
借用金（劣後特約付借入金を除く）の純増減（△）,665400,2023
コールローン等の純増（△）減,3804,2023
債券貸借取引支払保証金の純増（△）減,-181765,2023
コールマネー等の純増減（△）,12237,2023
外国為替（資産）の純増（△）減,-1261,2023
外国為替（負債）の純増減（△）,-361,2023
買入金銭債権の純増（△）減,-449037,2023
権利金保証金の純増（△）減,-54980,2023
資金運用による収入,69500,2023
資金調達による支出,-6353,2023
その他,-123,2023
小計,607346,2023
法人税等の支払額,-12650,2023
営業活動によるキャッシュ・フロー,594695,2023
有価証券の取得による支出,-592225,2023
有価証券の売却による収入,190367,2023
有価証券の償還による収入,216190,2023
有形固定資産の取得による支出,-1413,2023
無形固定資産の取得による支出,-6396,2023
その他,-100,2023
投資活動によるキャッシュ・フロー,-193578,2023
現金及び現金同等物に係る換算差額,-25,2023
現金及び現金同等物の増減額（△は減少）,401091,2023
現金及び現金同等物の期首残高,3649133,2023
現金及び現金同等物の期末残高,4050224,2023
現金預け金,3649136,2022
コールローン,10817,2022
債券貸借取引支払保証金,377100,2022
買入金銭債権,1680535,2022
有価証券,578005,2022
貸出金,2943891,2022
外国為替,8642,2022
その他資産,209183,2022
有形固定資産,3153,2022
建物,233,2022
その他の有形固定資産,2920,2022
無形固定資産,16261,2022
ソフトウエア,12424,2022
ソフトウエア仮勘定,3739,2022
のれん,97,2022
その他の無形固定資産,0,2022
繰延税金資産,5222,2022
支払承諾見返,9962,2022
貸倒引当金,-1226,2022
資産の部合計,9490689,2022
預金,7584374,2022
借用金,1612000,2022
外国為替,3381,2022
その他負債,72740,2022
賞与引当金,563,2022
役員賞与引当金,5,2022
退職給付に係る負債,1163,2022
睡眠預金払戻損失引当金,3,2022
ポイント引当金,-,2022
支払承諾,9962,2022
負債の部合計,9284194,2022
資本金,25954,2022
資本剰余金,2468,2022
利益剰余金,159022,2022
株主資本合計,187445,2022
その他有価証券評価差額金,-3596,2022
繰延ヘッジ損益,9,2022
為替換算調整勘定,3269,2022
退職給付に係る調整累計額,-47,2022
その他の包括利益累計額合計,-363,2022
非支配株主持分,19413,2022
純資産の部合計,206494,2022
負債及び純資産の部合計,9490689,2022
経常収益,106026,2022
資金運用収益,59810,2022
貸出金利息,44901,2022
有価証券利息配当金,283,2022
コールローン利息,13,2022
債券貸借取引受入利息,79,2022
預け金利息,-259,2022
その他の受入利息,14791,2022
役務取引等収益,40368,2022
その他業務収益,4179,2022
その他経常収益,706,2022
償却債権取立益,15,2022
その他の経常収益,690,2022
信託報酬,961,2022
経常費用,78117,2022
資金調達費用,5067,2022
預金利息,4813,2022
その他の支払利息,254,2022
役務取引等費用,34830,2022
その他業務費用,133,2022
営業経費,37620,2022
その他経常費用,464,2022
貸倒引当金繰入額,122,2022
その他の経常費用,341,2022
経常利益,27909,2022
特別利益,-,2022
資産除去債務取崩益,-,2022
特別損失,1,2022
固定資産処分損,1,2022
本社移転費用,-,2022
その他の特別損失,-,2022
税金等調整前当期純利益,27907,2022
法人税、住民税及び事業税,9593,2022
法人税等調整額,-773,2022
法人税等合計,8819,2022
当期純利益,19087,2022
非支配株主に帰属する当期純損失（－）,-952,2022
親会社株主に帰属する当期純利益,20039,2022
当期純利益,19087,2022
その他有価証券評価差額金,-3536,2022
繰延ヘッジ損益,636,2022
為替換算調整勘定,3521,2022
退職給付に係る調整額,-4,2022
その他の包括利益合計,616,2022
包括利益,19704,2022
親会社株主に係る包括利益,19107,2022
非支配株主に係る包括利益,596,2022
税金等調整前当期純利益,27907,2022
減価償却費,3914,2022
のれん償却額,35,2022
貸倒引当金の増減（－）,-234,2022
賞与引当金の増減額（－は減少）,25,2022
役員賞与引当金の増減額（－は減少）,1,2022
退職給付に係る負債の増減額（－は減少）,350,2022
ポイント引当金の増減額（－は減少）,-237,2022
睡眠預金払戻損失引当金の増減（－）,-24,2022
資金運用収益,-59810,2022
資金調達費用,5067,2022
有価証券関係損益（－）,-187,2022
固定資産処分損益（－は益）,1,2022
貸出金の純増（－）減,-1048163,2022
預金の純増減（－）,2036095,2022
借用金（劣後特約付借入金を除く）の純増減（－）,948800,2022
預け金（現金同等物を除く）の純増（－）減,-,2022
コールローン等の純増（－）減,-10261,2022
債券貸借取引支払保証金の純増（－）減,-298371,2022
外国為替（資産）の純増（－）減,-1129,2022
外国為替（負債）の純増減（－）,2435,2022
買入金銭債権の純増（－）減,-154558,2022
権利金保証金の純増（－）減,-20525,2022
資金運用による収入,60571,2022
資金調達による支出,-5180,2022
その他,-15105,2022
小計,1471416,2022
法人税等の支払額,-9471,2022
営業活動によるキャッシュ・フロー,1461945,2022
有価証券の取得による支出,-968270,2022
有価証券の売却による収入,343557,2022
有価証券の償還による収入,134172,2022
有形固定資産の取得による支出,-770,2022
無形固定資産の取得による支出,-4669,2022
その他,-,2022
投資活動によるキャッシュ・フロー,-495980,2022
財務活動によるキャッシュ・フロー,-,2022
現金及び現金同等物に係る換算差額,199,2022
現金及び現金同等物の増減額（－は減少）,966163,2022
現金及び現金同等物の期首残高,2682969,2022
新規連結に伴う現金及び現金同等物の増加額,-,2022
現金及び現金同等物の期末残高,3649133,2022
現金預け金,2682972,2021
コールローン,-,2021
債券貸借取引支払保証金,76397,2021
買入金銭債権,1529040,2021
有価証券,107504,2021
貸出金,1895656,2021
外国為替,7513,2021
その他資産,160020,2021
有形固定資産,3278,2021
建物,250,2021
その他の有形固定資産,3028,2021
無形固定資産,14095,2021
ソフトウエア,11261,2021
ソフトウエア仮勘定,2700,2021
のれん,132,2021
その他の無形固定資産,0,2021
繰延税金資産,3300,2021
支払承諾見返,8521,2021
貸倒引当金,-1460,2021
資産の部合計,6486841,2021
預金,5545947,2021
借用金,663200,2021
外国為替,945,2021
その他負債,79828,2021
賞与引当金,532,2021
役員賞与引当金,3,2021
退職給付に係る負債,806,2021
睡眠預金払戻損失引当金,27,2021
ポイント引当金,237,2021
支払承諾,8521,2021
負債の部合計,6300050,2021
資本金,25954,2021
資本剰余金,2468,2021
利益剰余金,138982,2021
株主資本合計,167405,2021
その他有価証券評価差額金,-271,2021
繰延ヘッジ損益,-626,2021
為替換算調整勘定,1508,2021
退職給付に係る調整累計額,-42,2021
その他の包括利益累計額合計,568,2021
非支配株主持分,18817,2021
純資産の部合計,186790,2021
負債及び純資産の部合計,6486841,2021
経常収益,103386,2021
資金運用収益,59498,2021
貸出金利息,45371,2021
有価証券利息配当金,88,2021
コールローン利息,2,2021
債券貸借取引受入利息,16,2021
預け金利息,-139,2021
その他の受入利息,14158,2021
役務取引等収益,38368,2021
その他業務収益,4212,2021
その他経常収益,483,2021
償却債権取立益,7,2021
その他の経常収益,476,2021
信託報酬,823,2021
経常費用,75804,2021
資金調達費用,3551,2021
預金利息,3408,2021
その他の支払利息,143,2021
役務取引等費用,35526,2021
その他業務費用,7,2021
営業経費,35810,2021
その他経常費用,908,2021
貸倒引当金繰入額,649,2021
その他の経常費用,259,2021
経常利益,27581,2021
特別利益,90,2021
資産除去債務取崩益,90,2021
特別損失,462,2021
固定資産処分損,73,2021
本社移転費用,19,2021
その他の特別損失,369,2021
税金等調整前当期純利益,27210,2021
法人税、住民税及び事業税,9047,2021
法人税等調整額,-703,2021
法人税等合計,8344,2021
当期純利益,18866,2021
非支配株主に帰属する当期純損失（－）,-471,2021
親会社株主に帰属する当期純利益,19337,2021
当期純利益,18866,2021
その他有価証券評価差額金,-395,2021
繰延ヘッジ損益,-70,2021
為替換算調整勘定,2857,2021
退職給付に係る調整額,12,2021
その他の包括利益合計,2403,2021
包括利益,21269,2021
親会社株主に係る包括利益,20311,2021
非支配株主に係る包括利益,957,2021
税金等調整前当期純利益,27210,2021
減価償却費,3300,2021
のれん償却額,35,2021
貸倒引当金の増減（－）,468,2021
賞与引当金の増減額（－は減少）,74,2021
役員賞与引当金の増減額（－は減少）,-,2021
退職給付に係る負債の増減額（－は減少）,370,2021
ポイント引当金の増減額（－は減少）,28,2021
睡眠預金払戻損失引当金の増減（－）,4,2021
資金運用収益,-59498,2021
資金調達費用,3551,2021
有価証券関係損益（－）,-296,2021
固定資産処分損益（－は益）,73,2021
貸出金の純増（－）減,-780161,2021
預金の純増減（－）,2140895,2021
借用金（劣後特約付借入金を除く）の純増減（－）,449000,2021
預け金（現金同等物を除く）の純増（－）減,10000,2021
コールローン等の純増（－）減,-,2021
債券貸借取引支払保証金の純増（－）減,-74635,2021
外国為替（資産）の純増（－）減,-1418,2021
外国為替（負債）の純増減（－）,603,2021
買入金銭債権の純増（－）減,-239806,2021
権利金保証金の純増（－）減,-15264,2021
資金運用による収入,59805,2021
資金調達による支出,-3528,2021
その他,-10225,2021
小計,1510586,2021
法人税等の支払額,-9092,2021
営業活動によるキャッシュ・フロー,1501494,2021
有価証券の取得による支出,-189668,2021
有価証券の売却による収入,50361,2021
有価証券の償還による収入,182297,2021
有形固定資産の取得による支出,-1491,2021
無形固定資産の取得による支出,-3943,2021
その他,-6,2021
投資活動によるキャッシュ・フロー,37548,2021
財務活動によるキャッシュ・フロー,-,2021
現金及び現金同等物に係る換算差額,926,2021
現金及び現金同等物の増減額（－は減少）,1539970,2021
現金及び現金同等物の期首残高,1107044,2021
新規連結に伴う現金及び現金同等物の増加額,35955,2021
現金及び現金同等物の期末残高,2682969,2021
