年度,D,DU,rD,Net_income,Net_asset,CFO,CFI,FCF,price,N,beta,Pay_ratio,NP
2015,1129953,1386,0.0012265996904296,1662,39914,63672,-70549,-6877,1780,11679030,0.5599,0.3558,20788673400
2016,1238022,1543,0.00124634295674874,1843,40614,55400,-17861,37539,1740,11679030,0.5599,0.3178,20321512200
2017,1252944,1221,9.74504846186262e-4,1912,48750,-3313,-3764,-7077,1585,11679030,0.5599,0.3136,18511262550
2018,1242234,930,7.486512203014891e-4,1556,50085,-32165,51369,19204,1558,11679030,0.5599,0.4206,18195928740
2019,1182263,632,5.345680275877702e-4,1753,50413,-58409,39743,-18666,1081,11679030,0.5599,0.5189,12625031430
2020,1142499,550,4.814008589941873e-4,1371,48914,-23805,27929,4124,1074,11679030,0.5599,0.5502,12543278220
2021,1229919,336,2.731887221841438e-4,1519,51811,47318,-10853,36465,1060,11679030,0.5599,0.4768,12379771800
2022,NA,NA,NA,NA,NA,NA,NA,NA,1070,11679030,0.5599,0.4226,12496562100
2023,1238059,165,1.3327313157127403e-4,1879,54204,-110251,2061,-108190,1045,11679030,0.5599,0.3724,12204586350
2024,1271826,185,1.4546014942295565e-4,1530,56828,6805,8855,15660,1155,11679030,0.5599,0.4613,13489279650
