年度,D,DU,rD,Net_income,Net_asset,CFO,CFI,FCF,price,N,beta,Pay_ratio,NP
2015,2156566,2096,9.719155360883924e-4,5986,116672,20043,-14532,5511,2290,72840263,0.3849,0.896,166804202270
2016,2214762,2067,9.332831247781928e-4,4891,114610,-80784,58344,-22440,1990,72840263,0.3849,0.8976,144952123370
2017,2227197,1394,6.258988315806819e-4,4637,115614,20683,42855,63538,1980,72840263,0.3849,0.8771,144223720740
2018,2169579,870,4.009994565765985e-4,3027,115526,-63585,32639,-30946,1950,72840263,0.3849,0.9041,142038512850
2019,2172991,596,2.7427633156326925e-4,1709,115732,-73709,84546,10837,1250,72840263,0.3849,0.8865,91050328750
2020,2137169,447,2.0915519549460056e-4,1738,111185,-7023,35390,28367,1130,72840263,0.3849,0.7246,82309497190
2021,2328267,348,1.4946739355924384e-4,-3175,116425,96884,-84955,11929,821,72840263,0.3849,1.0757,59801855923
2022,2390156,249,1.0417730056113492e-4,2593,100898,28964,-7983,20981,642,72840263,0.3849,1.8867,46763448846
2023,2375740,197,8.292153181745477e-5,-7078,77730,-19967,19549,-418,440,72840263,0.3849,0,32049715720
2024,2398571,253,1.0547947090163268e-4,-23462,83626,-13850,129915,116065,545,72840263,0.3849,0,39697943335
