年度,D,DU,rD,Net_income,Net_asset,CFO,CFI,FCF,price,N,beta,Pay_ratio,NP
2015,965038,1343,0.00139165504363558,3922,68523,17828,-1290,16538,1590,10244800,0.8731,0.707,16289232000
2016,962595,1256,0.00130480627886078,3105,70863,-1010,-2010,-3020,1420,10244800,0.8731,0.932,14547616000
2017,988030,1021,0.00103336943210226,2307,71967,26874,-7439,19435,1340,10244800,0.8731,0.1322,13728032000
2018,997611,790,7.918918295808687e-4,1828,73867,19187,-4084,15103,1319,10244800,0.8731,0.173,13512891200
2019,961019,492,5.119565794224672e-4,996,73653,-20315,10291,-10024,740,10244800,0.8731,0.3535,7581152000
2020,984580,421,4.2759349164110585e-4,1468,69811,18194,-3032,15162,889,10244800,0.8731,0.2356,9107627200
2021,1110084,379,3.414156045848783e-4,943,75732,80494,-513,79981,722,10244800,0.8731,0.4178,7396745600
2022,1103799,217,1.9659376390085515e-4,1701,74533,-34283,2488,-31795,770,10244800,0.8731,0.1878,7888496000
2023,1073463,176,1.639553482514069e-4,1666,77030,-31976,6114,-25862,716,10244800,0.8731,0.1958,7335276800
2024,1071163,175,1.633738282595646e-4,1358,61961,-22071,-5936,-28007,935,10244800,0.8731,0.2475,9578888000
