年度,D,DU,rD,Net_income,Net_asset,CFO,CFI,FCF,price,N,beta,Pay_ratio,NP
2015,703971,450,6.392308774083023e-4,2272,37955,8415,10252,18667,1410,12701000,0.8016,0.1426,17908410000
2016,706044,397,5.6228790273694e-4,2591,40351,-11904,-3518,-15422,2080,12701000,0.8016,0.1532,26418080000
2017,692788,208,3.002361472773778e-4,1495,39194,-3266,8523,5257,1680,12701000,0.8016,0.2764,21337680000
2018,692219,182,2.629225721917486e-4,1308,39540,-15481,-4083,-19564,1651,12701000,0.8016,0.2986,20969351000
2019,679053,153,2.2531378257661773e-4,1267,41415,-21118,24111,2993,601,12701000,0.8016,0.3195,7633301000
2020,681691,138,2.024377613904247e-4,1073,39090,-2256,13876,11620,648,12701000,0.8016,0.3742,8230248000
2021,852131,94,1.1031167742987872e-4,1008,40760,113437,2134,115571,639,12701000,0.8016,0.4017,8115939000
2022,855548,61,7.129933095513051e-5,1222,39634,-33868,4577,-29291,761,12701000,0.8016,0.3294,9665461000
2023,775611,40,5.157224433382198e-5,1311,36769,-92826,31352,-61474,681,12701000,0.8016,0.3121,8649381000
2024,762093,30,3.936527431691408e-5,1270,38515,-9113,9423,310,740,12701000,0.8016,0.3131,9398740000
